transcript,gene_name,coords,entrezgene_id,hgnc_id,uniprot_id,description,type,rank,Frel,TID
p1@GINS1,GINS1,chr20:25388293..25388372;+,e:9837,h:28980,u:Q14691;u:E7EQ95,GINS complex subunit 1,gene with protein product,164,0.9208,T099355
p1@SAP130,SAP130,chr2:128785619..128785640;-,e:79595,h:29813,u:C9JTJ5;u:Q96DP1,Sin3A associated protein 130,gene with protein product,165,0.918,T112088
p1@MRPL22,MRPL22,chr5:154320623..154320673;+,e:29093,h:14480,u:A6NGJ8;u:Q9NWU5;u:E7ESL0,mitochondrial ribosomal protein L22,gene with protein product,166,0.9179,T151250
p9@PRNP,PRNP,chr20:4667300..4667317;+,e:5621,h:9449,u:P04156,prion protein,gene with protein product,167,0.9174,T101707
p2@PQBP1,PQBP1,chrX:48755183..48755194;+,e:10084,h:9330,u:O60828,polyglutamine binding protein 1,gene with protein product,168,0.9172,T200111
p3@SUMO3,SUMO3,chr21:46237935..46237946;-,e:6612,h:11124,u:A8MUA9,small ubiquitin-like modifier 3,gene with protein product,169,0.9159,T105942
p1@ST5,ST5,chr11:8832182..8832279;-,e:6764,h:11350,u:E9PNM8;u:E9PJY5;u:E9PKM1;u:P78524,suppression of tumorigenicity 5,gene with protein product,170,0.9154,T019402
p3@SPOPL,SPOPL,chr2:139259556..139259579;+,e:339745,h:27934,u:F8WBB7,speckle type BTB/POZ protein like,gene with protein product,171,0.9145,T112626
p4@NUP153,NUP153,chr6:17706623..17706666;-,e:9972,h:8062,u:F6QR24,nucleoporin 153,gene with protein product,172,0.9136,T162279
p4@TCP11L1,TCP11L1,chr11:33061483..33061519;+,e:55346,h:25655,u:Q9NUJ3,t-complex 11 like 1,gene with protein product,173,0.9111,T013616
p3@ITFG1,ITFG1,chr16:47495147..47495164;-,e:81533,h:30697,u:Q8TB96,integrin alpha FG-GAP repeat containing 1,gene with protein product,174,0.9097,T051706
p2@STIP1,STIP1,chr11:63953691..63953713;+,e:10963,h:11387,u:F5H783,stress induced phosphoprotein 1,gene with protein product,175,0.9094,T016324
p1@HDAC1,HDAC1,chr1:32757718..32757765;+,e:3065,h:4852,u:Q5TEE2,histone deacetylase 1,gene with protein product,176,0.9078,T093491
p1@CENPW,CENPW,chr6:126661253..126661356;+,e:387103,h:21488,u:Q5EE01,centromere protein W,gene with protein product,177,0.9076,T158743
p1@SLC25A13,SLC25A13,chr7:95951334..95951417;-,e:10165,h:10983,u:Q9UJS0,solute carrier family 25 member 13,gene with protein product,178,0.9075,T178599
p1@PSMB7,PSMB7,chr9:127177703..127177734;-,e:5695,h:9544,u:Q99436;u:Q5TBG5;u:B4E0P1;u:E9KL30,proteasome subunit beta 7,gene with protein product,179,0.9073,T189487
p2@NOL12,NOL12,chr22:38082385..38082412;+,,h:28585,,nucleolar protein 12,gene with protein product,180,0.9067,T108651
p2@POLR2D,POLR2D,chr2:128605204..128605208;-,e:5433,h:9191,u:Q96FU3,RNA polymerase II subunit D,gene with protein product,181,0.9065,T112072
p1@CDC25C,CDC25C,chr5:137667459..137667524;-,e:995,h:1727,u:P30307,cell division cycle 25C,gene with protein product,182,0.906,T149255
p2@PPM1G,PPM1G,chr2:27607641..27607663;-,e:5496,h:9278,u:Q96IN7,protein phosphatase; Mg2+/Mn2+ dependent 1G,gene with protein product,183,0.9059,T121691
p4@PNRC1,PNRC1,chr6:89791507..89791559;+,e:10957,h:17278,,proline rich nuclear receptor coactivator 1,gene with protein product,184,0.9053,T168319
p2@RPS15A,RPS15A,chr16:18801619..18801630;-,e:6210,h:10389,u:P62244;u:B2R4W8,ribosomal protein S15a,gene with protein product,185,0.9048,T049362
p1@NOP16,NOP16,chr5:175815565..175815615;-,e:51491,h:26934,u:E7ERV7;u:D6RC60;u:D6RG37;u:D6RIC3,NOP16 nucleolar protein,gene with protein product,186,0.9044,T152567
p1@MRPL9,MRPL9,chr1:151735937..151735998;-,e:65005,h:14277,u:Q5SZR1,mitochondrial ribosomal protein L9,gene with protein product,187,0.9024,T082435
p1@CRYBG3,CRYBG3,chr3:97540876..97540923;+,e:131544,h:34427,u:B4DLE8,crystallin beta-gamma domain containing 3,gene with protein product,188,0.9016,T137896
p1@DSCC1,DSCC1,chr8:120868078..120868182;-,e:79075,h:24453,u:Q9BVC3,DNA replication and sister chromatid cohesion 1,gene with protein product,189,0.9013,T180216
p3@PPP2R3C,PPP2R3C,chr14:35591712..35591753;-,e:55012,h:17485,u:G3V228,protein phosphatase 2 regulatory subunit B''gamma,gene with protein product,190,0.8999,T037855
p2@ORMDL3,ORMDL3,chr17:38083843..38083864;-,e:94103,h:16038,u:Q8N138,ORMDL sphingolipid biosynthesis regulator 3,gene with protein product,191,0.8999,T057940
p1@UNG,UNG,chr12:109535373..109535414;+,e:7374,h:12572,u:P13051;u:E5KTA5,uracil DNA glycosylase,gene with protein product,192,0.8994,T020788
p4@MEGF8,MEGF8,chr19:42829925..42829949;+,e:1954,h:3233,u:Q7Z7M0,multiple EGF like domains 8,gene with protein product,193,0.8991,T074914
p1@RASAL2,RASAL2,chr1:178063231..178063261;+,e:9462,h:9874,u:F8W755,RAS protein activator like 2,gene with protein product,194,0.8968,T086066
p1@LGALS3BP,LGALS3BP,chr17:76975997..76976051;-,e:3959,h:6564,u:B4DVE1,galectin 3 binding protein,gene with protein product,195,0.895,T064218
p4@FBL,FBL,chr19:40331378..40331394;-,e:2091,h:3599,u:Q96BS4,fibrillarin,gene with protein product,196,0.8945,T074199
p1@KIF22,KIF22,chr16:29802036..29802086;+,e:3835,h:6391,u:Q14807;u:E7EUJ5,kinesin family member 22,gene with protein product,197,0.8938,T050593
p1@UBE2D4,UBE2D4,chr7:43966018..43966079;+,e:51619,h:21647,u:Q9Y2X8;u:F2Z3J6;u:F8WEH7;u:Q9UQL0,ubiquitin conjugating enzyme E2 D4 (putative),gene with protein product,198,0.8923,T175584
p1@SNX19,SNX19,chr11:130786333..130786399;-,e:399979,h:21532,u:E9PLV3;u:E9PKB9;u:F5H5D1;u:Q92543,sorting nexin 19,gene with protein product,199,0.8905,T011787
p2@MSL2,MSL2,chr3:135915086..135915144;-,e:55167,h:25544,u:C9IZG7,male-specific lethal 2 homolog (Drosophila),gene with protein product,200,0.8899,T129409
p2@SRSF1,SRSF1,chr17:56084508..56084519;-,e:6426,h:10780,u:Q07955;u:Q59FA2,serine and arginine rich splicing factor 1,gene with protein product,201,0.888,T061050
p3@UNG,UNG,chr12:109535416..109535439;+,e:7374,h:12572,u:P13051,uracil DNA glycosylase,gene with protein product,202,0.8878,T020789
p1@SKA3,SKA3,chr13:21750659..21750735;-,e:221150,h:20262,u:F5H8H7;u:F5GWG1,spindle and kinetochore associated complex subunit 3,gene with protein product,203,0.8875,T031931
p1@TRA2B,TRA2B,chr3:185655763..185655783;-,e:6434,h:10781,,transformer 2 beta homolog (Drosophila),gene with protein product,204,0.8873,T132572
p5@MRPS34,MRPS34,chr16:1823105..1823112;-,e:65993,h:16618,,mitochondrial ribosomal protein S34,gene with protein product,205,0.8873,T049346
p5@C1orf122,C1orf122,chr1:38274167..38274195;+,e:127687,h:24789,,chromosome 1 open reading frame 122,gene with protein product,206,0.8868,T094097
p1@ITFG1,ITFG1,chr16:47494951..47495020;-,e:81533,h:30697,u:Q8TB96,integrin alpha FG-GAP repeat containing 1,gene with protein product,207,0.8868,T051703
p1@LRR1,LRR1,chr14:50065639..50065674;+,e:122769,h:19742,u:Q6P393,leucine rich repeat protein 1,gene with protein product,208,0.8868,T038313
p1@PRIM1,PRIM1,chr12:57146095..57146149;-,e:5557,h:9369,u:P49642;u:F5H513;u:F8VNY2,primase (DNA) subunit 1,gene with protein product,209,0.8862,T027239
p1@CYP4V2,CYP4V2,chr4:187112703..187112776;+,e:285440,h:23198,u:Q6UWV9,cytochrome P450 family 4 subfamily V member 2,gene with protein product,210,0.8856,T142648
p1@DNAJC10,DNAJC10,chr2:183580954..183581049;+,e:54431,h:24637,u:Q8IXB1;u:F8W884;u:Q71S60,DnaJ heat shock protein family (Hsp40) member C10,gene with protein product,211,0.8854,T116164
p2@RQCD1,CNOT9,chr2:219433281..219433406;+,e:9125,h:10445,u:Q92600;u:B7Z1E5,CCR4-NOT transcription complex subunit 9,gene with protein product,212,0.8821,T118965
p11@SPIN4,SPIN4,chrX:62571171..62571180;-,e:139886,h:27040,u:Q56A73,spindlin family member 4,gene with protein product,213,0.8812,T200602
p1@MCM10,MCM10,chr10:13203543..13203587;+,e:55388,h:18043,u:Q7L590;u:C9J600;u:Q5T670,minichromosome maintenance 10 replication initiation factor,gene with protein product,214,0.881,T002526
p5@CLIP4,CLIP4,chr2:29338464..29338485;+,e:79745,h:26108,u:Q8N3C7,CAP-Gly domain containing linker protein family member 4,gene with protein product,215,0.8792,T121957
p1@FEN1,FEN1,chr11:61560348..61560419;+,e:2237,h:3650,u:F5H1Y3,flap structure-specific endonuclease 1,gene with protein product,216,0.8789,T015688
p1@GNPTG,GNPTG,chr16:1401925..1401969;+,e:84572,h:23026,u:E9PQQ5,N-acetylglucosamine-1-phosphate transferase gamma subunit,gene with protein product,217,0.8772,T048948
p6@ARRB1,ARRB1,chr11:75063275..75063314;-,e:408,h:711,u:B7Z1Q3;u:P49407,arrestin beta 1,gene with protein product,218,0.8769,T018491
p1@GOLGA5,GOLGA5,chr14:93260642..93260720;+,e:9950,h:4428,u:E7EQP0;u:Q8TBA6,golgin A5,gene with protein product,219,0.8749,T041552
p1@TM2D1,TM2D1,chr1:62190793..62190822;-,e:83941,h:24142,u:A6NMG4,TM2 domain containing 1,gene with protein product,220,0.8743,T095839
p5@TNFSF12-TNFSF13;p6@TNFSF12,TNFSF12,chr17:7452308..7452320;+,e:407977;e:8742,h:11927;h:33537,u:C0H5Y4;u:O43508;u:Q4ACW9;u:Q8IZK7,tumor necrosis factor superfamily member 12,gene with protein product,221,0.8715,T063491
p1@SAE1,SAE1,chr19:47634076..47634157;+,e:10055,h:30660,u:Q9UBE0;u:F5GXX7;u:G3XAK6;u:B3KNJ4;u:B4DY66;u:B3KMQ2,SUMO1 activating enzyme subunit 1,gene with protein product,222,0.8714,T076052
p1@SEMA4F,SEMA4F,chr2:74881366..74881397;+,e:10505,h:10734,u:F8WCP8;u:O95754,ssemaphorin 4F,gene with protein product,223,0.871,T125332
p1@ZC3H18,ZC3H18,chr16:88636795..88636827;+,e:124245,h:25091,u:E7ERS3,zinc finger CCCH-type containing 18,gene with protein product,224,0.8692,T054985
p1@FAM207A,FAM207A,chr21:46359907..46359962;+,e:85395,h:15811,u:Q9NSI2;u:C9JJU7,family with sequence similarity 207 member A,gene with protein product,225,0.8678,T106003
p1@CCNB1,CCNB1,chr5:68462944..68463008;+,e:891,h:1579,u:E9PC90,cyclin B1,gene with protein product,226,0.8676,T155325
p7@SCARB2,SCARB2,chr4:77134996..77134997;-,e:950,h:1665,u:Q14108,scavenger receptor class B member 2,gene with protein product,227,0.8668,T145732
p1@KIF2C,KIF2C,chr1:45205498..45205554;+,e:11004,h:6393,u:B7Z6Q6,kinesin family member 2C,gene with protein product,228,0.8667,T094789
p1@DCTPP1,DCTPP1,chr16:30441293..30441370;-,e:79077,h:28777,u:Q9H773,dCTP pyrophosphatase 1,gene with protein product,230,0.8657,T050892
p1@FTSJ2,MRM2,chr7:2281802..2281852;-,e:29960,h:16352,u:Q9UI43;u:E7ETL2,mitochondrial rRNA methyltransferase 2,gene with protein product,231,0.865,T173907
p1@NCAPD2,NCAPD2,chr12:6603253..6603303;+,e:9918,h:24305,u:E7EN77;u:F6SSY4;u:F5H431;u:F5GZJ1;u:B3KMS0;u:B3KY03;u:Q15021;u:Q6ZV00,non-SMC condensin I complex subunit D2,gene with protein product,232,0.8642,T028060
p2@JARID2,JARID2,chr6:15246200..15246214;+,e:3720,h:6196,u:Q92833,jumonji and AT-rich interaction domain containing 2,gene with protein product,233,0.8641,T160760
p4@ME3,ME3,chr11:86383461..86383483;-,e:10873,h:6985,u:E9PKA0,malic enzyme 3,gene with protein product,234,0.8637,T019299
p1@POLE3,POLE3,chr9:116172617..116172667;-,e:54107,h:13546,u:Q9NRF9,DNA polymerase epsilon 3; accessory subunit,gene with protein product,235,0.8625,T188694
p1@SF3B3,SF3B3,chr16:70557685..70557730;+,e:23450,h:10770,u:Q15393;u:A8K6V3,splicing factor 3b subunit 3,gene with protein product,236,0.8623,T053531
p1@WDR4,WDR4,chr21:44299626..44299682;-,e:10785,h:12756,u:P57081,WD repeat domain 4,gene with protein product,237,0.8618,T105600
p4@MDFIC,MDFIC,chr7:114562545..114562579;+,e:29969,h:28870,u:C9J104,MyoD family inhibitor domain containing,gene with protein product,238,0.8617,T169895
p2@TK2,TK2,chr16:66583994..66584010;-,e:7084,h:11831,u:F5GYK4,thymidine kinase 2; mitochondrial,gene with protein product,239,0.8613,T052885
p2@RNF128,RNF128,chrX:105969893..105969919;+,e:79589,h:21153,u:Q8TEB7,ring finger protein 128; E3 ubiquitin protein ligase,gene with protein product,240,0.8609,T196170
p10@TMEM91,TMEM91,chr19:41856764..41856777;+,e:641649,h:32393,u:F5GWC9;u:Q6P434,transmembrane protein 91,gene with protein product,242,0.8588,T074592
p2@CKS1B,CKS1B,chr1:154947126..154947147;+,e:1163,h:19083,u:Q9BZU3,CDC28 protein kinase regulatory subunit 1B,gene with protein product,243,0.8564,T083186
p2@DKC1,DKC1,chrX:153991175..153991226;+,e:1736,h:2890,,dyskerin pseudouridine synthase 1,gene with protein product,244,0.8555,T198533
p1@PSPC1,PSPC1,chr13:20357063..20357105;-,e:55269,h:20320,u:F5H656,paraspeckle component 1,gene with protein product,245,0.8548,T031815
p1@C1orf122,C1orf122,chr1:38274246..38274318;+,e:127687,h:24789,,chromosome 1 open reading frame 122,gene with protein product,246,0.8548,T094098
p1@JARID2,JARID2,chr6:15246261..15246312;+,e:3720,h:6196,u:Q92833,jumonji and AT-rich interaction domain containing 2,gene with protein product,247,0.8537,T160762
p1@BIRC5,BIRC5,chr17:76210318..76210366;+,e:332,h:593,,baculoviral IAP repeat containing 5,gene with protein product,248,0.8537,T063932
p6@FUS,FUS,chr16:31198113..31198130;+,e:2521,h:4010,,FUS RNA binding protein,gene with protein product,249,0.8535,T051182
p2@DCAF7,DCAF7,chr17:61627916..61627978;+,e:10238,h:30915,u:B4E039,DDB1 and CUL4 associated factor 7,gene with protein product,250,0.8498,T061672
p1@FAM82A1,RMDN2,chr2:38152401..38152444;+,e:151393,h:26567,u:Q96LZ7,regulator of microtubule dynamics 2,gene with protein product,252,0.8475,T122550
p2@PTPRM,PTPRM,chr18:7946839..7946903;+,e:5797,h:9675,,protein tyrosine phosphatase; receptor type M,gene with protein product,253,0.847,T069157
p1@PRR11,PRR11,chr17:57233087..57233146;+,e:55771,h:25619,u:Q96HE9,proline rich 11,gene with protein product,254,0.8459,T061260
p2@CYP4V2,CYP4V2,chr4:187112931..187112974;+,e:285440,h:23198,,cytochrome P450 family 4 subfamily V member 2,gene with protein product,255,0.8447,T142651
p1@ACADVL,ACADVL,chr17:7123207..7123275;+,e:37,h:92,,acyl-CoA dehydrogenase; very long chain,gene with protein product,256,0.8443,T062665
p2@GATAD2B,GATAD2B,chr1:153895251..153895342;-,e:57459,h:30778,u:Q8WXI9,GATA zinc finger domain containing 2B,gene with protein product,257,0.8442,T082924
p1@C14orf159,C14orf159,chr14:91580397..91580454;+,e:80017,h:20498,u:E5RJ62;u:E5RGN8;u:E5RK14;u:E5RIU5;u:E5RK56;u:E5RJD1,chromosome 14 open reading frame 159,gene with protein product,258,0.8435,T041333
p4@DTNBP1,DTNBP1,chr6:15663139..15663159;-,e:84062,h:17328,u:D6RB80,dystrobrevin binding protein 1,gene with protein product,259,0.8433,T161051
p2@MEPCE,MEPCE,chr7:100027037..100027077;+,e:56257,h:20247,u:D6W5V7,methylphosphate capping enzyme,gene with protein product,260,0.8423,T168614
p1@C3orf64,EOGT,chr3:69062790..69062855;-,e:285203,h:28526,u:F5H225;u:C9J4G5;u:B4E243,EGF domain specific O-linked N-acetylglucosamine transferase,gene with protein product,261,0.8414,T137111
p2@ANKIB1,ANKIB1,chr7:91875508..91875559;+,e:54467,h:22215,u:Q9P2G1,ankyrin repeat and IBR domain containing 1,gene with protein product,262,0.8401,T178112
p2@SNRPF,SNRPF,chr12:96255011..96255034;+,e:6636,h:11162,u:P62306,small nuclear ribonucleoprotein polypeptide F,gene with protein product,263,0.8393,T030586
p2@FBRSL1,FBRSL1,chr12:133136555..133136646;+,e:57666,h:29308,,fibrosin like 1,gene with protein product,264,0.839,T023192
p1@UBE2T,UBE2T,chr1:202311054..202311071;-,e:29089,h:25009,u:Q9NPD8,ubiquitin conjugating enzyme E2 T,gene with protein product,265,0.8388,T087901
p2@MRPL20,MRPL20,chr1:1342594..1342605;-,e:55052,h:14478,,mitochondrial ribosomal protein L20,gene with protein product,266,0.8384,T081548
p18@SCARB2,SCARB2,chr4:77134770..77134781;-,e:950,h:1665,u:E7EM68,scavenger receptor class B member 2,gene with protein product,267,0.8376,T145727
p1@AURKA,AURKA,chr20:54967243..54967278;-,e:6790,h:11393,u:O14965;u:A3KFJ0;u:Q5QPD4;u:A3KFJ2;u:Q5QPD1,aurora kinase A,gene with protein product,268,0.8374,T102571
p1@SRSF1,SRSF1,chr17:56084578..56084645;-,e:6426,h:10780,u:Q07955;u:Q59FA2,serine and arginine rich splicing factor 1,gene with protein product,269,0.8358,T061051
p3@ZNF695,ZNF695,chr1:247171316..247171336;-,e:57116,h:30954,,zinc finger protein 695,gene with protein product,270,0.8343,T092203
p3@KLF9,KLF9,chr9:73028332..73028385;-,e:687,h:1123,u:Q13886,Kruppel like factor 9,gene with protein product,271,0.8342,T193795
p5@ITGB8,ITGB8,chr7:20370666..20370680;+,e:3696,h:6163,u:P26012;u:Q9BUG9,integrin subunit beta 8,gene with protein product,272,0.8341,T173650
p2@CTSO,CTSO,chr4:156875081..156875092;-,e:1519,h:2542,,cathepsin O,gene with protein product,273,0.8337,T141006
p1@CENPO,CENPO,chr2:25016282..25016339;+,e:79172,h:28152,u:Q9BU64,centromere protein O,gene with protein product,274,0.8331,T121351
p2@MAPRE1,MAPRE1,chr20:31407692..31407709;+,e:22919,h:6890,u:Q15691,microtubule associated protein RP/EB family member 1,gene with protein product,275,0.8328,T099720
p1@USO1,USO1,chr4:76649797..76649876;+,e:8615,h:30904,u:O60763,USO1 vesicle transport factor,gene with protein product,276,0.8327,T145662
p2@NDFIP2,NDFIP2,chr13:80055508..80055575;+,e:54602,h:18537,,Nedd4 family interacting protein 2,gene with protein product,277,0.832,T034489
p2@UEVLD,UEVLD,chr11:18610246..18610272;-,e:55293,h:30866,u:A8MYV4;u:F5H6L6,UEV and lactate/malate dehyrogenase domains,gene with protein product,278,0.832,T012515
p1@C15orf38,ARPIN,chr15:90456156..90456198;-,e:348110,h:28782,u:Q7Z6K5,actin-related protein 2/3 complex inhibitor,gene with protein product,279,0.8318,T047770
p1@GINS2,GINS2,chr16:85722530..85722615;-,e:51659,h:24575,u:Q9Y248,GINS complex subunit 2,gene with protein product,280,0.8315,T054684
p3@SMEK1,PPP4R3A,chr14:91976874..91976905;-,e:55671,h:20219,u:G3V231,protein phosphatase 4 regulatory subunit 3A,gene with protein product,281,0.8312,T041396
p1@FBXO5,FBXO5,chr6:153304166..153304194;-,e:26271,h:13584,u:Q9UKT4,F-box protein 5,gene with protein product,282,0.83,T160860
p1@SNRPB,SNRPB,chr20:2451395..2451455;-,e:6628,h:11153,u:A8MT02,small nuclear ribonucleoprotein polypeptides B and B1,gene with protein product,283,0.8291,T099272
p1@RFC3,RFC3,chr13:34392259..34392321;+,e:5983,h:9971,u:C9JU95;u:P40938,replication factor C subunit 3,gene with protein product,284,0.8265,T032687
p5@NDFIP2,NDFIP2,chr13:80055378..80055401;+,e:54602,h:18537,,Nedd4 family interacting protein 2,gene with protein product,285,0.8256,T034485
p3@AP4S1,AP4S1,chr14:31494727..31494756;+,e:11154,h:575,u:Q9Y587,adaptor related protein complex 4 sigma 1 subunit,gene with protein product,286,0.8253,T037624
p3@GRN,GRN,chr17:42422629..42422636;+,e:2896,h:4601,u:Q9H8S1,granulin precursor,gene with protein product,287,0.825,T059179
p1@ILF3,ILF3,chr19:10765003..10765057;+,e:3609,h:6038,u:Q12906;u:C9JFV5;u:G5E9M5,interleukin enhancer binding factor 3,gene with protein product,288,0.8237,T069636
p2@HMGN1,HMGN1,chr21:40720508..40720537;-,e:3150,h:4984,,high mobility group nucleosome binding domain 1,gene with protein product,289,0.8231,T105248
p2@SKA3,SKA3,chr13:21750622..21750646;-,e:221150,h:20262,,spindle and kinetochore associated complex subunit 3,gene with protein product,290,0.8228,T031930
p1@NDFIP1,NDFIP1,chr5:141488318..141488397;+,e:80762,h:17592,u:Q9BT67,Nedd4 family interacting protein 1,gene with protein product,291,0.821,T149807
p1@CHEK2,CHEK2,chr22:29137782..29137837;-,e:11200,h:16627,u:O96017;u:C9JFD7;u:B7ZBF8;u:B7ZBF2;u:F8WCV2,checkpoint kinase 2,gene with protein product,292,0.8202,T107438
p1@SMARCC1,SMARCC1,chr3:47823298..47823423;-,e:6599,h:11104,u:Q92922;u:F8WE13;u:Q58EY4,SWI/SNF related; matrix associated; actin dependent regulator of chromatin subfamily c member 1,gene with protein product,293,0.8199,T135324
p1@STIL;p1@TAL1,STIL,chr1:47779762..47779827;-,e:6491;e:6886,h:10879;h:11556,u:Q15468;u:Q5T0C7,SCL/TAL1 interrupting locus,gene with protein product,294,0.8198,T095081
p1@OIP5,OIP5,chr15:41624754..41624796;-,e:11339,h:20300,u:O43482,Opa interacting protein 5,gene with protein product,295,0.8192,T043527
p4@MYO1E,MYO1E,chr15:59664770..59664784;-,e:4643,h:7599,,myosin IE,gene with protein product,296,0.818,T045077
p1@SRSF8,SRSF8,chr11:94800608..94800745;+,,h:16988,,serine and arginine rich splicing factor 8,gene with protein product,297,0.8157,T019717
p3@C5orf32,CYSTM1,chr5:139554656..139554688;+,e:84418,h:30239,u:Q9H1C7,cysteine rich transmembrane module containing 1,gene with protein product,298,0.8154,T149496
p3@DTYMK,DTYMK,chr2:242626169..242626178;-,e:1841,h:3061,,deoxythymidylate kinase,gene with protein product,299,0.8154,T121192
p2@ITGAV,ITGAV,chr2:187454714..187454748;+,e:3685,h:6150,u:B4DYQ7;u:B7ZLX0;u:P06756,integrin subunit alpha V,gene with protein product,300,0.8147,T116267
p1@SLC25A43,SLC25A43,chrX:118533269..118533364;+,e:203427,h:30557,u:B4E1P8,solute carrier family 25 member 43,gene with protein product,301,0.8146,T196704
p2@SMAD2,SMAD2,chr18:45456930..45456967;-,e:4087,h:6768,u:Q15796,SMAD family member 2,gene with protein product,302,0.8146,T067439
p1@FNDC3A,FNDC3A,chr13:49684445..49684517;+,e:22862,h:20296,u:Q9Y2H6,fibronectin type III domain containing 3A,gene with protein product,303,0.8126,T033629
p1@CDCA8,CDCA8,chr1:38158178..38158237;+,e:55143,h:14629,u:Q53HL2,cell division cycle associated 8,gene with protein product,304,0.8115,T094071
p1@USP39,USP39,chr2:85843252..85843321;+,e:10713,h:20071,u:Q53GS9;u:B9A018;u:G5E9H0;u:F8WC91,ubiquitin specific peptidase 39,gene with protein product,305,0.8109,T125719
p5@RNH1,RNH1,chr11:504942..504959;-,e:6050,h:10074,u:E9PLZ3,ribonuclease/angiogenin inhibitor 1,gene with protein product,306,0.8105,T014853
p1@SPAG5,SPAG5,chr17:26926005..26926070;-,e:10615,h:13452,u:F5GZT2;u:Q96R06,sperm associated antigen 5,gene with protein product,307,0.8104,T056647
p2@NCEH1,NCEH1,chr3:172428959..172429013;-,e:57552,h:29260,u:Q6PIU2;u:F5H7K4,neutral cholesterol ester hydrolase 1,gene with protein product,308,0.8104,T131789
p1@ATRN,ATRN,chr20:3451650..3451729;+,e:8455,h:885,u:O75882;u:B4DZ36,attractin,gene with protein product,309,0.8094,T100204
p1@SLC39A9,SLC39A9,chr14:69865401..69865426;+,e:55334,h:20182,u:Q9NUM3;u:G3V5J8,solute carrier family 39 member 9,gene with protein product,310,0.8085,T040026
p6@LAMC1,LAMC1,chr1:182992333..182992357;+,e:3915,h:6492,u:P11047;u:Q6NVY8,laminin subunit gamma 1,gene with protein product,311,0.8078,T086426
p2@KDSR,KDSR,chr18:61034772..61034800;-,e:2531,h:4021,u:Q06136,3-ketodihydrosphingosine reductase,gene with protein product,312,0.8068,T068321
p6@PPHLN1,PPHLN1,chr12:42836335..42836348;+,e:51535,h:19369,,periphilin 1,gene with protein product,313,0.8057,T024973
p2@MEGF8,MEGF8,chr19:42829702..42829758;+,e:1954,h:3233,u:Q7Z7M0,multiple EGF like domains 8,gene with protein product,314,0.8037,T074911
p1@POGZ,POGZ,chr1:151431909..151431987;-,e:23126,h:18801,u:Q7Z3K3;u:B4DTP8;u:B7ZBY5;u:B4DYL9;u:E9PM80,pogo transposable element with ZNF domain,gene with protein product,315,0.8034,T082404
p1@CCDC50,CCDC50,chr3:191047131..191047219;+,e:152137,h:18111,u:Q8IVM0,coiled-coil domain containing 50,gene with protein product,316,0.8034,T133078
p1@ACTL6A,ACTL6A,chr3:179280702..179280769;+,e:86,h:24124,u:C9JQT2;u:O96019,actin like 6A,gene with protein product,317,0.8029,T131968
p2@C12orf48,PARPBP,chr12:102513998..102514017;+,e:55010,h:26074,,PARP1 binding protein,gene with protein product,318,0.8004,T020140
p2@MORC4,MORC4,chrX:106243451..106243490;-,e:79710,h:23485,u:Q8TE76;u:A1YR24;u:A1YR23;u:B4DTP6,MORC family CW-type zinc finger 4,gene with protein product,319,0.8001,T196192
p2@PARP3,PARP3,chr3:51976988..51977042;+,e:10039,h:273,,poly(ADP-ribose) polymerase family member 3,gene with protein product,320,0.8,T136046
p1@CDCA5,CDCA5,chr11:64851496..64851577;-,e:113130,h:14626,u:B5MBX0,cell division cycle associated 5,gene with protein product,321,0.7994,T016692
p2@PRPF4,PRPF4,chr9:116037996..116038008;+,e:9128,h:17349,,pre-mRNA processing factor 4,gene with protein product,322,0.7986,T188679
p1@PLEKHA1,PLEKHA1,chr10:124134201..124134282;+,e:59338,h:14335,u:Q5RGS4;u:Q9HB21,pleckstrin homology domain containing A1,gene with protein product,323,0.7984,T001938
p51@HNRNPUL1,HNRNPUL1,chr19:41800457..41800476;+,e:11100,h:17011,u:B3KM60,heterogeneous nuclear ribonucleoprotein U like 1,gene with protein product,324,0.7967,T074538
p15@MBP,MBP,chr18:74799524..74799545;-,e:4155,h:6925,,myelin basic protein,gene with protein product,325,0.7937,T068971
p1@WSB2,WSB2,chr12:118498958..118499021;-,e:55884,h:19222,u:Q9NYS7,WD repeat and SOCS box containing 2,gene with protein product,326,0.7933,T021676
p1@CPSF7,CPSF7,chr11:61197406..61197464;-,e:79869,h:30098,u:F5H669;u:F5H2K8;u:F5H6P5;u:F5H1W4;u:Q8N684;u:B4DGF8,cleavage and polyadenylation specific factor 7,gene with protein product,327,0.7929,T015622
p3@EIF4A3,EIF4A3,chr17:78120917..78120934;-,e:9775,h:18683,,eukaryotic translation initiation factor 4A3,gene with protein product,328,0.7928,T064524
p2@MSH6,MSH6,chr2:48010312..48010328;+,e:2956,h:7329,u:B4DF41,mutS homolog 6,gene with protein product,329,0.7927,T123326
p2@TRA2B,TRA2B,chr3:185655795..185655822;-,e:6434,h:10781,,transformer 2 beta homolog (Drosophila),gene with protein product,330,0.7917,T132573
p4@AES,AES,chr19:3062910..3062955;-,e:166,h:307,u:Q14CJ1;u:Q8WY48,amino-terminal enhancer of split,gene with protein product,331,0.7915,T072587
p1@HN1,HN1,chr17:73150599..73150616;-,e:51155,h:14569,u:F5GY98;u:B8ZZT7,hematological and neurological expressed 1,gene with protein product,332,0.791,T063079
