source,interaction,target,zero_order_r,r_sign
T095084,-->,T019717,0.48616030798745,+
T095084,-->,T044884,0.515950301770433,+
T095084,-->,T067439,0.432315973414539,+
T095084,-->,T110726,0.364810397765367,+
T095084,-->,T141005,0.633827337003528,+
T095309,-->,T095351,0.685077101546783,+
T095309,-->,T163896,0.79595927189111,+
T095310,-->,T169251,0.705688347254508,+
T095314,-->,T016722,-0.36306553736309,-
T095314,-->,T090880,-0.463064505265691,-
T095351,-->,T056638,0.492188137307518,+
T095351,-->,T094973,0.693071800117985,+
T095351,-->,T169252,0.586829810850772,+
T095351,-->,T190037,0.576031160409155,+
T095394,-->,T038826,0.64992041743351,+
T095394,-->,T174215,0.649316436596034,+
T095439,-->,T051623,0.688670373468198,+
T095439,-->,T107438,0.606171451944077,+
T095439,-->,T169252,0.573521780834174,+
T095515,-->,T092842,0.507986610507158,+
T095839,-->,T089398,0.478228258707026,+
T096007,-->,T000456,0.414590074197811,+
T096007,-->,T036299,0.392183766144965,+
T096007,-->,T136949,0.440387059280915,+
T096852,-->,T095314,0.577499677639611,+
T097888,-->,T143696,0.654403180963645,+
T097888,-->,T167636,0.28969314991864,+
T098701,-->,T185247,-0.107676141953215,-
T099271,-->,T064961,0.562838074017231,+
T099355,-->,T020788,0.774557862418154,+
T099539,-->,T061260,0.793959353693388,+
T099539,-->,T160860,0.81171040381031,+
T100486,-->,T089039,0.466765919774639,+
T100654,-->,T051165,0.620967259315915,+
T100654,-->,T162279,0.459910436549209,+
T100871,-->,T026456,0.802210698105311,+
T100871,-->,T043456,0.787796147082959,+
T100871,-->,T106669,0.746296606691635,+
T100871,-->,T166176,0.502625809781042,+
T100872,-->,T076283,0.740003212354559,+
T101302,-->,T021287,0.48517480354771,+
T101302,-->,T118901,0.419426485599956,+
T101418,-->,T094115,0.539820931917057,+
T101707,-->,T101708,0.508284879781356,+
T101708,-->,T022816,0.401026395250508,+
T101708,-->,T085268,0.400040922795637,+
T101708,-->,T128173,0.305515234436275,+
T101708,-->,T150961,0.350059568733141,+
T102571,-->,T035792,0.692761666102992,+
T102571,-->,T062125,0.791196973328451,+
T102663,-->,T010532,0.731957361861603,+
T102663,-->,T017161,0.696333653345253,+
T102663,-->,T031631,0.496446262409163,+
T102663,-->,T070619,0.727190195165109,+
T104383,-->,T101418,-0.209406356381143,-
T104569,-->,T104635,0.599330294612737,+
T104616,-->,T161514,0.408912525984514,+
T104635,-->,T099720,0.295728152493214,+
T104723,-->,T171342,0.784951298746158,+
T104730,-->,T053695,0.478074041609498,+
T104730,-->,T053910,0.515158559999023,+
T105248,-->,T042185,0.268166695050558,+
T105600,-->,T105797,0.79157226764736,+
T105641,-->,T034389,-0.540698993881486,-
T105641,-->,T082876,0.653188450744071,+
T105642,-->,T068321,0.11068900385142,+
T105722,-->,T135324,0.512050926024697,+
T105763,-->,T105600,0.812795166173779,+
T105797,-->,T121619,0.753475523253041,+
T105797,-->,T163896,0.701052324839428,+
T105797,-->,T164947,0.630270956668714,+
T106002,-->,T082357,0.52767405623553,+
T106002,-->,T106088,0.333691602551479,+
T106002,-->,T125629,0.309489854043116,+
T106002,-->,T164318,0.414181782108063,+
T106003,-->,T082357,0.691708294553481,+
T106003,-->,T106002,0.579828147909593,+
T106303,-->,T170760,0.333743243672589,+
T106310,-->,T076906,0.603287893790728,+
T106310,-->,T180398,0.541974683301032,+
T106575,-->,T056638,0.477023495445949,+
T106575,-->,T165791,0.579044878938551,+
T106669,-->,T074414,0.556513988986147,+
T106669,-->,T123719,0.56070771321526,+
T106670,-->,T093133,0.696561634926545,+
T106670,-->,T151250,0.554777260908349,+
T107438,-->,T124866,0.621067800737522,+
T108174,-->,T086033,0.598515668186837,+
T108174,-->,T128627,0.867930341740164,+
T108400,-->,T118278,0.510880345615247,+
T109221,-->,T022264,0.487994680717016,+
T109989,-->,T050693,0.569672975574976,+
T109989,-->,T053695,-0.354779626217025,-
T109989,-->,T072583,0.476736392521098,+
T109989,-->,T134737,0.45609605003605,+
T109989,-->,T136046,0.507855907406621,+
T109989,-->,T150934,0.523715045642673,+
T109989,-->,T192978,0.443007000663534,+
T110033,-->,T037624,0.594873731509211,+
T110246,-->,T021001,0.429188430200584,+
T110246,-->,T052310,0.51247032596544,+
T110246,-->,T053330,0.447513619948309,+
T110246,-->,T089256,0.29128941278503,+
T110246,-->,T093491,-0.310921626207899,-
T110246,-->,T125332,0.456699127998559,+
T110247,-->,T076279,0.32173487131333,+
T110247,-->,T110246,0.453212974378195,+
T110247,-->,T125332,0.404444786948491,+
T110247,-->,T155923,0.323878799595392,+
T110726,-->,T007602,0.405352775976337,+
T110726,-->,T072540,0.350567775007493,+
T110726,-->,T189487,-0.404072176305474,-
T110726,-->,T199607,0.174528872038755,+
T112072,-->,T152840,0.295440808676363,+
T112148,-->,T160102,0.409798745428277,+
T112626,-->,T128606,0.570943433440352,+
T112626,-->,T160761,0.469353196459628,+
T114499,-->,T099539,0.824553118891483,+
T114499,-->,T133709,0.80728539818409,+
T114499,-->,T158743,0.774846175824904,+
T114499,-->,T160860,0.819042746118485,+
T116164,-->,T041552,0.473788600681532,+
T116164,-->,T145662,0.545412330976312,+
T116194,-->,T050428,0.54919431438411,+
T116267,-->,T090880,0.570856115436761,+
T116267,-->,T136046,0.607368934471681,+
T116267,-->,T147217,0.639445679645145,+
T116501,-->,T024973,0.734730314325355,+
T116501,-->,T034242,0.690184577617258,+
T116501,-->,T037624,0.588763208077736,+
T116501,-->,T041005,0.661131293078347,+
T116501,-->,T059214,0.696540215271274,+
T116501,-->,T110033,0.634612272384736,+
T116890,-->,T031930,0.686765362386978,+
T116890,-->,T111983,0.411967094909139,+
T116890,-->,T118965,0.514340464757841,+
T116890,-->,T180398,0.57496920155085,+
T117729,-->,T129382,0.380278453351789,+
T117796,-->,T018170,-0.285264297755082,-
T118278,-->,T105264,0.536052593743179,+
T118901,-->,T018170,0.395237713312362,+
T118901,-->,T037825,-0.339827859233185,-
T118901,-->,T052942,0.429448495061539,+
T118965,-->,T038738,0.429538360992471,+
T118965,-->,T042184,0.38917105725584,+
T118965,-->,T061260,0.48670255228902,+
T118965,-->,T094518,-0.378250666673983,-
T118965,-->,T180530,0.386905733437893,+
T119425,-->,T034486,0.292529658693044,+
T120141,-->,T088540,-0.356654608866041,-
T120383,-->,T093491,0.393569847057182,+
T120383,-->,T120384,0.641059673384109,+
T120383,-->,T160859,0.550221398700221,+
T120384,-->,T094071,0.840709803680558,+
T120384,-->,T095081,0.765537704707772,+
T120384,-->,T164776,0.841629410632554,+
T121125,-->,T072583,0.430678679090217,+
T121137,-->,T110246,0.331284785865327,+
T121137,-->,T172888,0.405868960838949,+
T121351,-->,T028060,0.739596442103789,+
T121351,-->,T071145,0.664151734573923,+
T121351,-->,T082876,0.691116433851875,+
T121691,-->,T061722,0.455830011684116,+
T121691,-->,T168758,0.310853833438284,+
T121697,-->,T015936,0.547979076931775,+
T121697,-->,T063079,0.605382642665606,+
T121697,-->,T101708,-0.347941896152818,-
T121954,-->,T199863,-0.288535588421514,-
T121956,-->,T055881,0.529322009472295,+
T121956,-->,T058951,0.447250194332933,+
T121956,-->,T067440,0.493274325746867,+
T121957,-->,T172888,0.453724907131888,+
T122153,-->,T063319,0.370207316880844,+
T122153,-->,T089039,0.488092657093777,+
T122153,-->,T134710,0.322392092049665,+
T122153,-->,T148258,0.364689007934857,+
T122153,-->,T193801,0.349491153019344,+
T122326,-->,T161511,0.533043062400016,+
T122550,-->,T024245,0.326607940414913,+
T122550,-->,T169888,0.486823324599951,+
T122634,-->,T085528,0.414509768593462,+
T123166,-->,T138182,0.298189905245699,+
T123326,-->,T035689,0.523473044715471,+
T123326,-->,T144479,0.666522871957654,+
T123326,-->,T165004,0.527294088373648,+
T123523,-->,T013616,0.45523003255419,+
T123523,-->,T116164,0.562109493681035,+
T123698,-->,T084439,0.486240648717849,+
T123698,-->,T164754,0.414898234841425,+
T123719,-->,T008481,0.355137698812019,+
T123719,-->,T093328,0.393650253937399,+
T123721,-->,T064961,0.562996841418289,+
T123721,-->,T122326,0.522214337132551,+
T123721,-->,T124862,0.626160274925888,+
T124123,-->,T037825,0.446317616166427,+
T124123,-->,T090381,0.388479913782111,+
T124123,-->,T099720,0.433733526825757,+
T124123,-->,T162757,0.690117919476606,+
T124809,-->,T037825,0.543004416738168,+
T124809,-->,T051165,0.469105497381961,+
T124862,-->,T124863,0.802713180512244,+
T124862,-->,T131968,0.614937017400999,+
T124866,-->,T074415,0.649746927886377,+
T124866,-->,T078505,-0.248824256715565,-
T125081,-->,T129708,-0.540768978689412,-
T125081,-->,T164947,0.711618135792795,+
T125629,-->,T008662,0.588213788433624,+
T125629,-->,T128605,0.567031278429314,+
T125629,-->,T163537,0.524450659401921,+
T125629,-->,T199863,0.485633189289091,+
T125709,-->,T022631,0.361659596164373,+
T125709,-->,T024243,0.423048662060397,+
T125709,-->,T043052,0.329299939493177,+
T125709,-->,T057516,0.496323562156987,+
T125709,-->,T189435,0.417245405151901,+
T125719,-->,T023206,0.771539738365831,+
T125719,-->,T093327,0.728378721138454,+
T125719,-->,T100871,0.742914043682913,+
T125719,-->,T199863,0.661868094568365,+
T126228,-->,T016361,0.589617562355106,+
T126228,-->,T039795,0.658536710871428,+
T126228,-->,T133793,0.447123263303333,+
T126379,-->,T123326,0.615479453892758,+
T126388,-->,T028060,0.800432322398258,+
T126388,-->,T056647,0.836864819280048,+
T126388,-->,T139461,0.82470457706668,+
T126388,-->,T142169,0.593881020681104,+
T126388,-->,T164776,0.793056126194666,+
T126517,-->,T074914,0.339061038252804,+
T126517,-->,T088176,0.255627690650015,+
T126517,-->,T126229,0.236113413969347,+
T126517,-->,T131789,0.237808304170425,+
T126785,-->,T106303,0.325240886350234,+
T126785,-->,T170760,0.395341069932505,+
T126786,-->,T005308,0.717823675630457,+
T126786,-->,T085803,0.617255146901546,+
T126786,-->,T092203,0.588231752455721,+
T126786,-->,T154945,0.710076422684051,+
T126975,-->,T084866,0.141104270316071,+
T126975,-->,T095839,-0.254215447317321,-
T126975,-->,T106303,0.265486597468464,+
T127019,-->,T027301,0.41304738385783,+
T127019,-->,T074201,-0.379716117208858,-
T128173,-->,T015622,-0.35873440859699,-
T128173,-->,T133078,0.329961122757762,+
T128173,-->,T147217,0.51593032957324,+
T128173,-->,T162139,0.352296840217204,+
T128606,-->,T128605,0.693874837727817,+
T128606,-->,T129409,0.652688783793497,+
T128606,-->,T163537,0.473295137036033,+
T128627,-->,T015688,0.856633208933565,+
T128627,-->,T016750,0.827612579612708,+
T128627,-->,T070178,0.828902985557066,+
T128627,-->,T076283,0.801996319287181,+
T128627,-->,T178924,0.86450580299101,+
T128720,-->,T083592,0.684699830892348,+
T128815,-->,T059676,0.420024790850921,+
T129382,-->,T145188,0.34503552490159,+
T129409,-->,T082404,0.59505285501199,+
T129409,-->,T082924,0.637788200959001,+
T129409,-->,T146358,0.527594500710157,+
T129409,-->,T176601,0.590152997346863,+
T129409,-->,T180082,0.42265955132203,+
T129509,-->,T145731,0.571344593505258,+
T129509,-->,T189435,0.482746409890254,+
T131788,-->,T043053,0.567475839304484,+
T131788,-->,T072587,0.404500177011049,+
T131788,-->,T145727,0.542185734522626,+
T131788,-->,T185247,0.342021172091038,+
T131789,-->,T111019,0.44219589819651,+
T131936,-->,T090880,0.573936338894266,+
T131936,-->,T134641,0.496314106406269,+
T131936,-->,T145188,0.511581298509662,+
T131968,-->,T093535,0.633681168075029,+
T131968,-->,T124866,0.604643449574432,+
T132570,-->,T016575,0.319767255481854,+
T132573,-->,T091835,0.651957860756082,+
T132573,-->,T133490,0.431388855865505,+
T132573,-->,T133796,-0.369843748679067,-
T132573,-->,T185247,-0.279680924810724,-
T133319,-->,T013678,-0.269594044136092,-
T133319,-->,T200455,0.427312478636518,+
T133709,-->,T099539,0.833339135653502,+
T133793,-->,T169888,0.44031643979605,+
T133794,-->,T150961,0.33235410212468,+
T133796,-->,T016722,0.413464442477146,+
T133796,-->,T046289,0.503887782433516,+
T134641,-->,T050693,0.472385170670997,+
T134660,-->,T022264,-0.134231144345676,-
T134660,-->,T180530,0.354545977634914,+
T134737,-->,T001802,-0.385146500687153,-
T134737,-->,T165231,-0.504714283295781,-
T134869,-->,T184922,0.480912388308051,+
T135324,-->,T091044,0.607041568286347,+
T135324,-->,T132573,0.578809312739475,+
T135660,-->,T125332,0.578994701029548,+
T135937,-->,T121137,0.314714838192717,+
T135937,-->,T192816,0.242011018981093,+
T136046,-->,T030278,-0.115337928975464,-
T136583,-->,T136648,0.362192654960993,+
T136949,-->,T074914,0.448913064912903,+
T136949,-->,T161291,-0.337699248539857,-
T137081,-->,T036299,0.382475198113852,+
T137081,-->,T098701,0.368459340049098,+
T137111,-->,T034389,0.574435608986479,+
T137111,-->,T086066,0.483862265547231,+
T137892,-->,T018170,0.382014633903603,+
T137892,-->,T069031,0.498453301056382,+
T137896,-->,T137892,0.771202788403495,+
T137896,-->,T158729,0.487518510787624,+
T138182,-->,T011202,0.310099008081253,+
T138318,-->,T044139,0.658211828219154,+
T138318,-->,T101302,-0.421520037964343,-
T138318,-->,T139375,0.684359489468724,+
T138318,-->,T158742,0.547607919034186,+
T138881,-->,T066047,0.678295544364839,+
T138881,-->,T097888,0.62631069311276,+
T138881,-->,T151250,0.560628103290508,+
T139374,-->,T190576,0.46568954486774,+
T139375,-->,T139374,0.739645552087352,+
T139375,-->,T142401,0.815649007558106,+
T139461,-->,T031931,0.809090443635282,+
T139461,-->,T044139,0.721218964022749,+
T139461,-->,T139375,0.822909271601237,+
T140760,-->,T019402,0.49665808473223,+
T140997,-->,T063932,0.673905442715839,+
T140997,-->,T129708,-0.423390286354157,-
T141006,-->,T011787,0.388689246094855,+
T141006,-->,T024246,0.274108170638357,+
T141786,-->,T045052,0.592772904080109,+
T141786,-->,T140997,0.685185474612564,+
T141786,-->,T164776,0.802734471268916,+
T142169,-->,T149240,0.448762082411251,+
T142169,-->,T154656,0.184819237473447,+
T142639,-->,T064217,0.353648508309755,+
T142648,-->,T121137,0.332319257261925,+
T142651,-->,T095366,0.667625514645128,+
T142651,-->,T100204,0.511227579877454,+
T144463,-->,T021001,0.607105441010385,+
T144463,-->,T027301,0.491247187550142,+
T144479,-->,T081067,0.567808369446058,+
T144479,-->,T105248,0.596064556598186,+
T144479,-->,T118278,0.526613778376449,+
T145662,-->,T002501,0.484767478818773,+
T145725,-->,T012515,0.395283674617818,+
T145725,-->,T034389,0.681284758304056,+
T145725,-->,T145733,0.562376069445723,+
T145726,-->,T059179,0.674838501523962,+
T145726,-->,T133078,0.441261383907758,+
T145726,-->,T145725,0.7846525690092,+
T145726,-->,T145727,0.802281171751657,+
T145726,-->,T148742,0.549429610973188,+
T145727,-->,T002501,0.556817375656661,+
T145731,-->,T052886,0.592338923927545,+
T145731,-->,T145733,0.759899424300102,+
T145732,-->,T122153,0.347625306021843,+
T145732,-->,T145731,0.629388810049415,+
T145733,-->,T005963,0.382975013308205,+
T145733,-->,T007810,0.407902228049691,+
T145733,-->,T145732,0.636526124131431,+
T145734,-->,T017161,-0.346251107275829,-
T145734,-->,T108651,-0.294658373098522,-
T146271,-->,T146272,0.646983074479196,+
T146271,-->,T167636,0.297094338697383,+
T146272,-->,T049346,0.464652584091615,+
T146272,-->,T049362,0.596248239273903,+
T146272,-->,T152846,0.562405468688352,+
T147114,-->,T004396,0.337647049818632,+
T147114,-->,T007602,0.480693473781487,+
T147114,-->,T147580,0.456560139028985,+
T147114,-->,T149807,0.544272295915226,+
T147215,-->,T019725,0.412153271597288,+
T147215,-->,T094097,0.4044060873692,+
T147215,-->,T147244,0.372756587890632,+
T147215,-->,T148176,0.428942326811155,+
T147215,-->,T189435,0.438912895917466,+
T147217,-->,T021001,0.658833188725308,+
T147217,-->,T086426,0.594738662536096,+
T147580,-->,T010794,0.451459191142628,+
T148176,-->,T033629,0.40519518445794,+
T148258,-->,T003652,0.425760287118729,+
T148258,-->,T055881,0.426694464126928,+
T148258,-->,T129708,0.318695440301267,+
T148259,-->,T127019,0.444310859211727,+
T148286,-->,T074415,0.711620220392088,+
T148286,-->,T141786,0.718600392694317,+
T148742,-->,T090880,0.631026397275217,+
T148742,-->,T147215,0.531152422193605,+
T148897,-->,T134641,0.487509715659207,+
T148897,-->,T148898,0.701690791598108,+
T149240,-->,T020140,0.457491557975792,+
T149240,-->,T074600,0.359570455925991,+
T149240,-->,T116194,0.522426651273766,+
T149240,-->,T149241,0.629194443941538,+
T149241,-->,T139461,0.796840696495343,+
T149255,-->,T051623,0.761714785243448,+
T149255,-->,T149241,0.834741753826089,+
T149496,-->,T052441,0.487509426935333,+
T149496,-->,T129509,0.477629297873769,+
T149807,-->,T001938,0.497356256548679,+
T149807,-->,T010794,0.558900421509843,+
T149807,-->,T069374,0.467890970471991,+
T149808,-->,T166622,-0.229578685810755,-
T150696,-->,T042268,0.21691899229994,+
T150696,-->,T094098,0.456915642444392,+
T150934,-->,T149496,0.511575737858371,+
T150961,-->,T150964,0.62899249560635,+
T150964,-->,T007721,0.348106887542392,+
T150964,-->,T150963,0.726736318495507,+
T151250,-->,T056950,-0.376221765040538,-
T151563,-->,T038313,0.523503465610231,+
T151563,-->,T076052,0.542381690932344,+
T151563,-->,T124863,0.615078564851155,+
T151563,-->,T151250,0.524503220218298,+
T152567,-->,T074126,0.647801383350228,+
T152840,-->,T006742,-0.195451770497559,-
T152840,-->,T035747,0.604592068248521,+
T152840,-->,T063079,0.633995410595179,+
T152840,-->,T106003,0.665202989145248,+
T152840,-->,T198487,0.539275421577208,+
T152941,-->,T000978,0.395849680743588,+
T154945,-->,T148286,0.704912988412084,+
T154945,-->,T180216,0.691807519249443,+
T155325,-->,T045053,0.849786332290199,+
T155325,-->,T102571,0.845448669906782,+
T155325,-->,T139461,0.807531724946439,+
T155325,-->,T149241,0.816305724956344,+
T155325,-->,T149255,0.811507814812341,+
T155923,-->,T089343,0.221733488744518,+
T155923,-->,T121137,0.355815544890325,+
T157484,-->,T023101,0.455661594874015,+
T157484,-->,T023192,0.463764865649149,+
T157484,-->,T050428,0.421458794147919,+
T157484,-->,T092609,0.560424588157938,+
T157484,-->,T164318,0.436128454901387,+
T157484,-->,T170118,0.428915217414026,+
T158729,-->,T182667,0.444676490034616,+
T158729,-->,T189487,-0.404177940601839,-
T158742,-->,T044139,0.599882098362139,+
T158743,-->,T043527,0.768289472460123,+
T159182,-->,T076126,0.510569168312402,+
T160526,-->,T046802,0.420693268689407,+
T160526,-->,T133078,0.386310184628953,+
T160761,-->,T064153,0.415335667033389,+
T160761,-->,T160760,0.789607854412489,+
T160761,-->,T160762,0.819604096396585,+
T160762,-->,T125081,-0.266957853658423,-
T160762,-->,T194375,0.337439763393321,+
T160859,-->,T055908,0.504367009469605,+
T160859,-->,T158334,0.411824286594389,+
T161051,-->,T169025,0.300578801267468,+
T161291,-->,T000456,-0.390172418569381,-
T161291,-->,T042191,0.424477977940196,+
T161291,-->,T093491,0.312767909782536,+
T161511,-->,T105233,0.534864151433435,+
T161511,-->,T198533,0.630422335942594,+
T161513,-->,T000094,0.22362132104502,+
T161514,-->,T049346,0.371994921000868,+
T161514,-->,T105234,0.419706691494774,+
T161514,-->,T138881,0.426497169331692,+
T162139,-->,T007810,0.308518017885946,+
T162212,-->,T022264,0.484764407612649,+
T162212,-->,T123721,0.56020092673641,+
T162278,-->,T006742,0.535804001402683,+
T162278,-->,T042064,0.563502902256677,+
T162278,-->,T158729,0.245178910194249,+
T162278,-->,T162279,0.291914411963134,+
T162278,-->,T192388,0.541778317335303,+
T162279,-->,T083419,0.374194101368835,+
T162279,-->,T200602,0.340222140022192,+
T162285,-->,T188679,0.350816108565709,+
T162757,-->,T020139,0.780559177509255,+
T162757,-->,T051623,0.782565341065398,+
T162757,-->,T123326,0.732575558168024,+
T162757,-->,T146272,0.639303152811401,+
T162757,-->,T190459,0.679069493785892,+
T162995,-->,T048516,0.746588289997802,+
T162995,-->,T050892,0.735085800182048,+
T162995,-->,T054684,0.765093710234449,+
T163150,-->,T162995,0.86735245423565,+
T163537,-->,T063207,0.365347413100688,+
T163537,-->,T101418,0.549846095961805,+
T163566,-->,T093202,0.388273253850057,+
T163566,-->,T190576,0.327520881327522,+
T163648,-->,T118965,0.442678242656626,+
T164318,-->,T083587,0.306256766163785,+
T164318,-->,T092609,0.557896974225467,+
T164318,-->,T102663,0.603574063582698,+
T164318,-->,T106575,0.471384302061558,+
T165231,-->,T031815,0.618525729128318,+
T165231,-->,T041966,0.601305623115163,+
T165231,-->,T122634,0.662503891671026,+
T165231,-->,T152941,0.69845781954636,+
T165231,-->,T175584,-0.400168449899124,-
T165679,-->,T132572,0.299235460673407,+
T165786,-->,T116890,0.530666380391057,+
T165791,-->,T071787,0.536744542163142,+
T165791,-->,T105797,0.726599446135125,+
T165791,-->,T125081,0.691787336916397,+
T165791,-->,T152567,0.728078180238681,+
T166176,-->,T104723,0.459097144217685,+
T166622,-->,T032960,0.323133438460282,+
T166622,-->,T181879,0.336408940140814,+
T166675,-->,T095439,0.705356336169792,+
T166675,-->,T104950,0.783996884449982,+
T168319,-->,T037825,0.526658910759965,+
T168319,-->,T064524,0.395739785555641,+
T168319,-->,T104730,0.41596810632609,+
T168614,-->,T181879,0.437747295427328,+
T168717,-->,T083788,0.414060893066674,+
T169025,-->,T083742,0.32915211172241,+
T169251,-->,T063087,0.724688957763446,+
T169251,-->,T093202,0.470097069391958,+
T169251,-->,T105600,0.741554726222581,+
T169886,-->,T046720,0.536266589615317,+
T169886,-->,T089940,0.40957527934129,+
T169886,-->,T193394,0.443056791361926,+
T169888,-->,T002501,0.491010387272674,+
T169888,-->,T137111,0.459696232231828,+
T170118,-->,T031631,0.439928444037463,+
T170118,-->,T074415,0.546269089761663,+
T170367,-->,T001938,0.380102991625974,+
T170367,-->,T196170,0.302219845484719,+
T171342,-->,T006145,0.776200944957863,+
T171342,-->,T053531,0.729994856688539,+
T171342,-->,T063087,0.744920088241801,+
T171342,-->,T086414,0.624440265867146,+
T171342,-->,T104616,0.493926172917526,+
T171342,-->,T116194,0.726620799123454,+
T171342,-->,T163896,0.77536084592629,+
T172888,-->,T184118,0.518742502517447,+
T173649,-->,T024246,0.305352355343685,+
T173649,-->,T110247,0.240034787756111,+
T173650,-->,T173649,0.714116148458256,+
T173650,-->,T173651,0.679515627550091,+
T173651,-->,T186316,0.352890254706577,+
T173651,-->,T193444,0.220969919270914,+
T173907,-->,T061721,0.586480595993449,+
T173907,-->,T082435,0.638714783062245,+
T173907,-->,T105264,0.495315368364968,+
T173907,-->,T121192,0.566304277728556,+
T174052,-->,T105722,0.493724123008909,+
T174052,-->,T152846,0.712748350529651,+
T174052,-->,T199863,0.536841777312512,+
T174215,-->,T066047,0.681020607575343,+
T175584,-->,T007573,0.473802198023358,+
T175584,-->,T072587,0.433885674372673,+
T175584,-->,T089398,0.398402255525383,+
T175584,-->,T158729,0.501863579574027,+
T175584,-->,T176450,0.532040647812557,+
T175734,-->,T188694,0.419420833927734,+
T176303,-->,T034486,0.469640831657563,+
T176303,-->,T086426,0.390901265677301,+
T176450,-->,T072585,0.452095830424899,+
T176450,-->,T136648,0.514982190522123,+
T176450,-->,T174478,0.41585450823795,+
T176451,-->,T072587,0.230779076030188,+
T176451,-->,T176450,0.295051130876581,+
T176452,-->,T039795,0.514083799547864,+
T176452,-->,T126228,0.533139613058574,+
T177132,-->,T094972,0.591881935659267,+
T178665,-->,T042185,0.298030634679322,+
T178665,-->,T178599,0.307272026474574,+
T178906,-->,T028257,0.166043044393645,+
T178924,-->,T053531,0.76690599003543,+
T178924,-->,T070619,0.798380266329227,+
T178924,-->,T070685,0.829634504125027,+
T178924,-->,T177132,0.780681737324382,+
T178961,-->,T072526,0.222164036586613,+
T180216,-->,T185072,0.741958424538393,+
T180398,-->,T063461,0.447898131768682,+
T180530,-->,T112148,0.101559549507807,+
T181879,-->,T032960,0.365303105981968,+
T182256,-->,T001813,-0.529105515226944,-
T182514,-->,T069756,0.841483134106024,+
T182667,-->,T083788,-0.470355196612804,-
T183226,-->,T018170,0.288135864795664,+
T183226,-->,T049357,0.338435400342327,+
T183713,-->,T078452,0.353944954635467,+
T184118,-->,T135660,0.560719518313038,+
T184922,-->,T022816,0.450288459092041,+
T184922,-->,T090880,-0.0893381061006387,-
T185072,-->,T016692,0.827085760116527,+
T185072,-->,T061051,0.671523822800211,+
T185072,-->,T128627,0.856320578413857,+
T186313,-->,T067439,0.231091654888927,+
T186313,-->,T093757,0.28871286700893,+
T186313,-->,T183216,0.303171030202887,+
T186313,-->,T186316,0.507616614557278,+
T186316,-->,T059179,0.625854068761122,+
T186316,-->,T062713,0.387986000628504,+
T186316,-->,T079062,0.369357916439141,+
T186316,-->,T089341,0.496908458417873,+
T186316,-->,T098771,0.545736496845149,+
T186316,-->,T133793,0.423887434633347,+
T186316,-->,T145727,0.577467857432451,+
T187243,-->,T007602,0.36714932333719,+
T187243,-->,T021676,0.352066816812496,+
T187532,-->,T061928,0.528954380640282,+
T187532,-->,T180216,0.546404114486197,+
T187562,-->,T002571,0.53827082421701,+
T187562,-->,T049362,0.744115751667355,+
T187562,-->,T093202,-0.148114093772296,-
T187562,-->,T102535,0.560246994046807,+
T187562,-->,T152840,0.58270460235584,+
T187562,-->,T187532,0.570196656604163,+
T187589,-->,T175029,0.516976070334212,+
T187666,-->,T041396,0.521455629767829,+
T187666,-->,T128605,0.412924677143371,+
T187666,-->,T132572,0.420539432579926,+
T188697,-->,T010532,0.550917609368625,+
T188697,-->,T188694,0.440160322963587,+
T189435,-->,T043053,0.541703493944058,+
T189435,-->,T145734,0.441205153387418,+
T189435,-->,T150696,0.481410117697933,+
T189558,-->,T000106,0.38966927458348,+
T189558,-->,T037855,0.300238958667443,+
T189558,-->,T092842,-0.16539455674009,-
T190034,-->,T054985,0.394806795417061,+
T190034,-->,T093535,0.38003095703228,+
T190037,-->,T053910,0.684213009142362,+
T190459,-->,T002526,0.724966066355778,+
T190576,-->,T145734,0.0889865765397868,+
T190740,-->,T058857,-0.468744905092811,-
T190740,-->,T076811,0.620906660995461,+
T190740,-->,T182667,-0.469694208498544,-
T190740,-->,T198616,0.357016886156036,+
T190742,-->,T078232,0.688222384129245,+
T190742,-->,T125719,0.673057779486967,+
T192816,-->,T059040,-0.113330254889979,-
T192816,-->,T072526,0.165597528329237,+
T192978,-->,T036299,0.441969285213447,+
T193394,-->,T083742,-0.305920220869559,-
T193394,-->,T134641,0.401284522122732,+
T193394,-->,T193395,0.778755585478127,+
T193444,-->,T049357,0.260194287260954,+
T193444,-->,T052342,0.284706141860445,+
T193444,-->,T111886,0.318695247289112,+
T193444,-->,T182667,0.30425830908157,+
T193444,-->,T185247,0.217028218494809,+
T193798,-->,T007810,0.281577479821152,+
T193798,-->,T193795,0.416923731846907,+
T193801,-->,T193798,0.340261650390199,+
T194088,-->,T078505,0.327036443329307,+
T194088,-->,T129708,0.387696171963406,+
T194375,-->,T096852,0.56138892789339,+
T194375,-->,T135555,-0.395454590046279,-
T194375,-->,T148286,0.522917733189398,+
T194694,-->,T109221,0.612828077080027,+
T194694,-->,T117796,0.37126090400255,+
T194694,-->,T148286,0.657429852586399,+
T194897,-->,T061257,0.426826307672327,+
T194897,-->,T061672,0.406696406129231,+
T196170,-->,T142651,0.357705367902883,+
T196192,-->,T023533,0.516245762768478,+
T196192,-->,T198930,0.398025861249579,+
T196704,-->,T135660,-0.142049031180283,-
T198042,-->,T038826,0.677512392099368,+
T198042,-->,T105248,0.598285684357743,+
T198042,-->,T123326,0.645063358273756,+
T198042,-->,T146271,0.5392762694101,+
T198158,-->,T050593,0.785815306874604,+
T198158,-->,T069756,0.798216744340072,+
