Hs-MFSD2A,2000,1000,T094283-MFSD2A,"p1@MFSD2A"
rank,TID,Fabs,Frel,coords,transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
713,T172764,702,0.3498,"chr7:151038789..151038800,+",p2@NUB1,e:51667,h:17623,,NUB1,"negative regulator of ubiquitin like proteins 1","gene with protein product"
714,T021316,701,0.3491,"chr12:113860160..113860234,+",p1@SDSL,e:113675,h:30404,"u:Q96GA7,u:F8VYZ3",SDSL,"serine dehydratase like","gene with protein product"
715,T075402,698,0.3476,"chr19:45409845..45409890,+",p2@APOE,e:348,h:613,u:E7ERP7,APOE,"apolipoprotein E","gene with protein product"
716,T032215,699,0.3472,"chr13:27844952..27844973,+",p1@RASL11A,e:387496,h:23802,,RASL11A,"RAS like family 11 member A","gene with protein product"
717,T098079,695,0.3468,"chr1:95007302..95007322,-",p1@F3,e:2152,h:3541,,F3,"coagulation factor III, tissue factor","gene with protein product"
718,T013591,693,0.3455,"chr11:32851278..32851318,+",p3@PRRG4,e:79056,h:30799,u:Q9BZD6,PRRG4,"proline rich and Gla domain 4","gene with protein product"
719,T100231,694,0.3453,"chr20:34680595..34680608,+",p5@EPB41L1,e:2036,h:3378,u:Q4VXN6,EPB41L1,"erythrocyte membrane protein band 4.1 like 1","gene with protein product"
720,T023226,692,0.3451,"chr12:133338379..133338425,-",p1@ANKLE2,e:23141,h:29101,u:F5H2H5,ANKLE2,"ankyrin repeat and LEM domain containing 2","gene with protein product"
721,T137038,689,0.3431,"chr3:66271182..66271196,+",p4@SLC25A26,e:115286,h:20661,u:Q70HW3,SLC25A26,"solute carrier family 25 member 26","gene with protein product"
722,T076640,688,0.3414,"chr19:49588677..49588688,+",p2@SNRNP70,e:6625,h:11150,,SNRNP70,"small nuclear ribonucleoprotein U1 subunit 70","gene with protein product"
723,T015078,684,0.3411,"chr11:57194530..57194533,-",p11@SLC43A3,e:29015,h:17466,u:Q8NBI5,SLC43A3,"solute carrier family 43 member 3","gene with protein product"
724,T183358,686,0.3408,"chr8:22844997..22845008,+",p12@RHOBTB2,e:23221,h:18756,u:E5RI44,RHOBTB2,"Rho related BTB domain containing 2","gene with protein product"
725,T143369,684,0.3406,"chr4:2965287..2965305,+",p2@GRK4,e:2868,h:4543,,GRK4,"G protein-coupled receptor kinase 4","gene with protein product"
726,T162700,683,0.3405,"chr6:24495098..24495109,+",p6@ALDH5A1,e:7915,h:408,u:C9J8Q5,ALDH5A1,"aldehyde dehydrogenase 5 family member A1","gene with protein product"
727,T144601,680,0.3397,"chr4:59340..59357,+","p2@ZNF595,p5@ZNF718","e:255403,e:152687","h:26889,h:27196",,ZNF718,"zinc finger protein 718","gene with protein product"
728,T137179,681,0.3385,"chr3:69811858..69811881,+",p5@MITF,e:4286,h:7105,u:C9J845,MITF,"melanogenesis associated transcription factor","gene with protein product"
729,T150959,676,0.3370,"chr5:150603679..150603688,-",p2@CCDC69,e:26112,h:24487,u:A6NI79,CCDC69,"coiled-coil domain containing 69","gene with protein product"
730,T155545,676,0.3370,"chr5:72112445..72112456,+",p6@TNPO1,e:3842,h:6401,,TNPO1,"transportin 1","gene with protein product"
731,T197186,675,0.3353,"chrX:131353467..131353485,-",p3@RAP2C,e:57826,h:21165,,RAP2C,"RAP2C, member of RAS oncogene family","gene with protein product"
732,T097214,672,0.3343,"chr1:85462813..85462824,-",p2@MCOLN2,e:255231,h:13357,"u:G5EA24,u:Q8IZK6",MCOLN2,"mucolipin 2","gene with protein product"
733,T036270,672,0.3342,"chr14:20929630..20929641,-",p2@TMEM55B,e:90809,h:19299,u:Q86T03,TMEM55B,"transmembrane protein 55B","gene with protein product"
734,T025373,668,0.3332,"chr12:48119301..48119329,-",p2@ENDOU,e:8909,h:14369,u:P21128,ENDOU,"endonuclease, poly(U) specific","gene with protein product"
735,T063586,667,0.3323,"chr17:7465300..7465315,+",p2@SENP3,"e:26168,e:100533955",h:17862,u:Q9H4L4,SENP3,"SUMO1/sentrin/SMT3 specific peptidase 3","gene with protein product"
736,T018541,665,0.3310,"chr11:7535162..7535194,+",p2@PPFIBP2,e:8495,h:9250,u:B3KM46,PPFIBP2,"PPFIA binding protein 2","gene with protein product"
737,T037449,664,0.3310,"chr14:24899142..24899185,+",p1@KHNYN,e:23351,h:20166,,KHNYN,"KH and NYN domain containing","gene with protein product"
738,T023704,664,0.3302,"chr12:18414395..18414406,+",p3@PIK3C2G,e:5288,h:8973,u:O75747,PIK3C2G,"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma","gene with protein product"
739,T031393,664,0.3302,"chr13:111214015..111214076,-",p1@RAB20,e:55647,h:18260,u:Q9NX57,RAB20,"RAB20, member RAS oncogene family","gene with protein product"
740,T098865,663,0.3302,"chr20:19915739..19915783,+",p1@RIN2,e:54453,h:18750,,RIN2,"Ras and Rab interactor 2","gene with protein product"
741,T134817,665,0.3300,"chr3:42917405..42917412,-",p5@CYP8B1,e:1582,h:2653,u:C9JFR9,CYP8B1,"cytochrome P450 family 8 subfamily B member 1","gene with protein product"
742,T050670,662,0.3297,"chr16:29874418..29874431,-",p5@CDIPT,e:10423,h:1769,u:C9J7H0,CDIPT,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase","gene with protein product"
743,T013764,660,0.3285,"chr11:34645791..34645836,+",p3@EHF,e:26298,h:3246,"u:E9PQR6,u:E9PN75,u:E9PPS9",EHF,"ETS homologous factor","gene with protein product"
744,T127016,661,0.3284,"chr3:105085511..105085544,+",p5@ALCAM,e:214,h:400,"u:B4DTU0,u:Q13740,u:B3KNN9,u:Q6PEY4",ALCAM,"activated leukocyte cell adhesion molecule","gene with protein product"
745,T043958,656,0.3267,"chr15:45670735..45670750,-",p1@GATM,e:2628,h:4175,,GATM,"glycine amidinotransferase","gene with protein product"
746,T188965,655,0.3265,"chr9:118687889..118687897,-",p4@LINC00474,,h:23367,,LINC00474,"long intergenic non-protein coding RNA 474","RNA, long non-coding"
747,T176148,657,0.3264,"chr7:50344438..50344443,+",p13@IKZF1,e:10320,h:13176,"u:Q13422,u:Q69BM4",IKZF1,"IKAROS family zinc finger 1","gene with protein product"
748,T051858,656,0.3256,"chr16:50187238..50187251,+",p3@PAPD5,e:64282,h:30758,,PAPD5,"poly(A) RNA polymerase D5, non-canonical","gene with protein product"
749,T105419,653,0.3250,"chr21:42798243..42798254,+",p12@MX1,e:4599,h:7532,,MX1,"MX dynamin like GTPase 1","gene with protein product"
750,T146759,644,0.3212,"chr4:89079757..89079802,-",p2@ABCG2,e:9429,h:74,,ABCG2,"ATP binding cassette subfamily G member 2 (Junior blood group)","gene with protein product"
751,T139926,644,0.3207,"chr4:139936905..139936944,+",p1@CCRN4L,e:25819,h:14254,"u:Q9UK39,u:Q8WTX0",NOCT,nocturnin,"gene with protein product"
752,T199657,643,0.3204,"chrX:43514244..43514261,+",p2@MAOA,e:4128,h:6833,u:Q49A63,MAOA,"monoamine oxidase A","gene with protein product"
753,T060707,643,0.3201,"chr17:49825260..49825274,-",p8@CA10,e:56934,h:1369,,CA10,"carbonic anhydrase 10","gene with protein product"
754,T144804,639,0.3185,"chr4:682935..682946,-",p2@MFSD7,e:84179,h:26177,u:Q6UXD7,MFSD7,"major facilitator superfamily domain containing 7","gene with protein product"
755,T032865,636,0.3167,"chr13:38183557..38183568,-",p7@POSTN,e:10631,h:16953,u:F5H570,POSTN,periostin,"gene with protein product"
756,T119391,637,0.3166,"chr2:223288927..223288960,+",p10@SGPP2,e:130367,h:19953,u:Q8IWX5,SGPP2,"sphingosine-1-phosphate phosphatase 2","gene with protein product"
757,T046709,635,0.3162,"chr15:77287715..77287755,+",p2@PSTPIP1,e:9051,h:9580,u:O43586,PSTPIP1,"proline-serine-threonine phosphatase interacting protein 1","gene with protein product"
758,T104496,634,0.3157,"chr21:31692627..31692638,-",p2@KRTAP26-1,e:388818,h:33760,u:Q6PEX3,KRTAP26-1,"keratin associated protein 26-1","gene with protein product"
759,T063140,635,0.3156,"chr17:73401714..73401725,-",p3@GRB2,e:2885,h:4566,u:P62993,GRB2,"growth factor receptor bound protein 2","gene with protein product"
760,T050702,634,0.3156,"chr16:29985207..29985238,+",p2@TAOK2,e:9344,h:16835,"u:E7EV72,u:Q9UL54,u:A0PJ48",TAOK2,"TAO kinase 2","gene with protein product"
761,T038465,633,0.3149,"chr14:51135005..51135032,-",p1@SAV1,e:60485,h:17795,"u:G3V453,u:Q9H4B6",SAV1,"salvador family WW domain containing protein 1","gene with protein product"
762,T022021,631,0.3146,"chr12:121476770..121476790,-",p1@OASL,e:8638,h:8090,"u:B3KN79,u:Q15646",OASL,"2'-5'-oligoadenylate synthetase like","gene with protein product"
763,T139925,632,0.3144,"chr4:139936780..139936787,+",p4@CCRN4L,e:25819,h:14254,"u:Q9UK39,u:Q8WTX0",NOCT,nocturnin,"gene with protein product"
764,T093612,632,0.3143,"chr1:33430403..33430421,-",p1@RNF19B,e:127544,h:26886,"u:G3XA82,u:E9PAW6,u:Q6ZMZ0,u:F5GY25",RNF19B,"ring finger protein 19B","gene with protein product"
765,T002111,630,0.3139,"chr10:126150369..126150437,+",p1@LHPP,e:64077,h:30042,"u:Q9H008,u:Q5T1Z0",LHPP,"phospholysine phosphohistidine inorganic pyrophosphate phosphatase","gene with protein product"
766,T061750,629,0.3131,"chr17:61988610..61988623,-",p1@CSHL1,e:1444,h:2442,u:Q14406,CSHL1,"chorionic somatomammotropin hormone like 1","gene with protein product"
767,T125649,628,0.3129,"chr2:85555086..85555119,-",p1@TGOLN2,e:10618,h:15450,,TGOLN2,"trans-golgi network protein 2","gene with protein product"
768,T119722,627,0.3127,"chr2:228189927..228189938,+",p3@MFF,e:56947,h:24858,,MFF,"mitochondrial fission factor","gene with protein product"
769,T061906,626,0.3122,"chr17:63052777..63052871,-",p1@GNA13,e:10672,h:4381,"u:F8W818,u:Q14344",GNA13,"G protein subunit alpha 13","gene with protein product"
770,T187922,627,0.3119,"chr9:103189660..103189693,+",p5@C9orf30,e:91283,h:23370,u:Q96H12,MSANTD3,"Myb/SANT DNA binding domain containing 3","gene with protein product"
771,T156889,625,0.3114,"chr5:95297534..95297563,-",p1@ELL2,e:22936,h:17064,"u:B4DNK7,u:D6RC27",ELL2,"elongation factor for RNA polymerase II 2","gene with protein product"
772,T087921,620,0.3094,"chr1:202432126..202432150,+",p8@PPP1R12B,e:4660,h:7619,u:O60237,PPP1R12B,"protein phosphatase 1 regulatory subunit 12B","gene with protein product"
773,T077911,621,0.3093,"chr19:54761080..54761146,-",p1@LILRB5,e:10990,h:6609,"u:C9JMK7,u:Q8NF80",LILRB5,"leukocyte immunoglobulin like receptor B5","gene with protein product"
774,T075400,622,0.3091,"chr19:45409042..45409061,+",p1@APOE,e:348,h:613,u:E9PEV4,APOE,"apolipoprotein E","gene with protein product"
775,T144049,620,0.3091,"chr4:4543700..4543759,-",p1@STX18,e:53407,h:15942,"u:Q9P2W9,u:D6RF48",STX18,"syntaxin 18","gene with protein product"
776,T071147,621,0.3082,"chr19:17186577..17186637,+",p1@MYO9B,e:4650,h:7609,"u:Q4LE74,u:Q8WVD2,u:B0I1T6,u:Q13459",MYO9B,"myosin IXB","gene with protein product"
777,T157002,616,0.3071,"chr5:96294360..96294372,+",p9@LNPEP,e:4012,h:6656,u:Q9UIQ6,LNPEP,"leucyl and cystinyl aminopeptidase","gene with protein product"
778,T121683,611,0.3035,"chr2:27593286..27593297,-",p3@EIF2B4,e:8890,h:3260,u:Q9UI10,EIF2B4,"eukaryotic translation initiation factor 2B subunit delta","gene with protein product"
779,T087623,610,0.3033,"chr1:200708631..200708664,+",p2@CAMSAP2,e:23271,h:29188,"u:B3KTI4,u:Q08AD1",CAMSAP2,"calmodulin regulated spectrin associated protein family member 2","gene with protein product"
780,T018238,606,0.3021,"chr11:72853267..72853346,-",p1@FCHSD2,e:9873,h:29114,u:O94868,FCHSD2,"FCH and double SH3 domains 2","gene with protein product"
781,T183965,607,0.3017,"chr8:28243813..28243839,-",p4@ZNF395,e:55893,h:18737,u:E5RH90,ZNF395,"zinc finger protein 395","gene with protein product"
782,T193269,602,0.2994,"chr9:37903693..37903731,-",p6@MCART1,e:92014,h:23323,u:Q9H1U9,SLC25A51,"solute carrier family 25 member 51","gene with protein product"
783,T025766,598,0.2986,"chr12:50350567..50350576,+",p3@AQP2,e:359,h:634,,AQP2,"aquaporin 2","gene with protein product"
784,T129308,599,0.2982,"chr3:133748762..133748778,-",p1@SLCO2A1,e:6578,h:10955,u:F8W9W8,SLCO2A1,"solute carrier organic anion transporter family member 2A1","gene with protein product"
785,T121470,597,0.2976,"chr2:26257206..26257229,+",p5@RAB10,e:10890,h:9759,u:P61026,RAB10,"RAB10, member RAS oncogene family","gene with protein product"
786,T177158,597,0.2975,"chr7:74072175..74072188,+",p6@GTF2I,e:2969,h:4659,,GTF2I,"general transcription factor IIi","gene with protein product"
787,T109606,595,0.2963,"chr22:45064469..45064490,+",p4@PRR5,e:55615,h:31682,u:P85299,PRR5,"proline rich 5","gene with protein product"
788,T061703,594,0.2961,"chr17:618043..618107,-",p1@VPS53,e:55275,h:25608,"u:Q5VIR6,u:G3V0H8,u:B3KS06",VPS53,"VPS53, GARP complex subunit","gene with protein product"
789,T191874,593,0.2952,"chr9:15307181..15307197,-",p3@TTC39B,e:158219,h:23704,u:B4DVQ6,TTC39B,"tetratricopeptide repeat domain 39B","gene with protein product"
790,T008622,593,0.2952,"chr10:98480243..98480297,-",p1@PIK3AP1,e:118788,h:30034,"u:Q6ZUJ8,u:Q86YV3",PIK3AP1,"phosphoinositide-3-kinase adaptor protein 1","gene with protein product"
791,T122550,591,0.2945,"chr2:38152401..38152444,+",p1@FAM82A1,e:151393,h:26567,u:Q96LZ7,RMDN2,"regulator of microtubule dynamics 2","gene with protein product"
792,T055341,590,0.2944,"chr17:10102176..10102203,-",p4@GAS7,e:8522,h:4169,"u:O60861,u:F5H2K0",GAS7,"growth arrest specific 7","gene with protein product"
793,T087665,587,0.2922,"chr1:20113572..20113583,-",p11@TMCO4,e:255104,h:27393,,TMCO4,"transmembrane and coiled-coil domains 4","gene with protein product"
794,T015603,585,0.2921,"chr11:61129595..61129619,+",p5@TMEM138,e:51524,h:26944,u:Q9NPI0,TMEM138,"transmembrane protein 138","gene with protein product"
795,T133540,587,0.2920,"chr3:196594746..196594808,+",p1@SENP5,e:205564,h:28407,u:C9JHT8,SENP5,"SUMO1/sentrin specific peptidase 5","gene with protein product"
796,T198252,587,0.2919,"chrX:152990302..152990319,+",p1@ABCD1,e:215,h:61,u:P33897,ABCD1,"ATP binding cassette subfamily D member 1","gene with protein product"
797,T170502,583,0.2912,"chr7:12634137..12634140,-",p9@ERVFH21-1,e:100616104,h:39047,,ERVFH21-1,"endogenous retrovirus group FH21 member 1","endogenous retrovirus"
798,T015193,584,0.2905,"chr11:576457..576493,+",p1@PHRF1,e:57661,h:24351,u:Q9P1Y6,PHRF1,"PHD and ring finger domains 1","gene with protein product"
799,T107749,585,0.2897,"chr22:31063782..31063879,-",p1@DUSP18,e:150290,h:18484,"u:Q8NEJ0,u:F8VX42,u:F2Z2P2",DUSP18,"dual specificity phosphatase 18","gene with protein product"
800,T021272,584,0.2897,"chr12:113659261..113659300,+",p1@TPCN1,e:53373,h:18182,u:F8W0K7,TPCN1,"two pore segment channel 1","gene with protein product"
801,T104159,583,0.2896,"chr21:26797102..26797131,-",p1@LINC00158,,h:1283,,LINC00158,"long intergenic non-protein coding RNA 158","RNA, long non-coding"
802,T069739,580,0.2891,"chr19:11200122..11200155,+",p1@LDLR,e:3949,h:6547,"u:B4DR00,u:B4DTQ3,u:B4DJZ8",LDLR,"low density lipoprotein receptor","gene with protein product"
803,T187331,577,0.2868,"chr8:96037255..96037318,+",p2@C8orf38,e:137682,h:28625,u:B4DW83,NDUFAF6,"NADH:ubiquinone oxidoreductase complex assembly factor 6","gene with protein product"
804,T109571,571,0.2845,"chr22:44577210..44577236,+",p2@PARVG,e:64098,h:14654,u:E7EVM6,PARVG,"parvin gamma","gene with protein product"
805,T130590,569,0.2836,"chr3:152552911..152552926,+",p1@P2RY1,e:5028,h:8539,u:P47900,P2RY1,"purinergic receptor P2Y1","gene with protein product"
806,T013117,568,0.2830,"chr11:2397402..2397416,+",p15@CD81,e:975,h:1701,u:E9PM31,CD81,"CD81 molecule","gene with protein product"
807,T067699,570,0.2829,"chr18:51750948..51751059,-",p1@MBD2,e:8932,h:6917,u:Q9UBB5,MBD2,"methyl-CpG binding domain protein 2","gene with protein product"
808,T067296,567,0.2827,"chr18:43405501..43405513,+",p5@SIGLEC15,e:284266,h:27596,u:Q6ZMC9,SIGLEC15,"sialic acid binding Ig like lectin 15","gene with protein product"
809,T190637,567,0.2819,"chr9:134615326..134615438,-",p2@RAPGEF1,e:2889,h:4568,u:Q5JUE9,RAPGEF1,"Rap guanine nucleotide exchange factor 1","gene with protein product"
810,T016668,565,0.2817,"chr11:64764402..64764413,-",p2@BATF2,e:116071,h:25163,u:E9PJ73,BATF2,"basic leucine zipper ATF-like transcription factor 2","gene with protein product"
811,T124032,561,0.2784,"chr2:61108771..61108789,+",p4@REL,e:5966,h:9954,u:Q17RU2,REL,"REL proto-oncogene, NF-kB subunit","gene with protein product"
812,T019668,559,0.2780,"chr11:94277542..94277569,+",p1@FUT4,e:2526,h:4015,u:P22083,FUT4,"fucosyltransferase 4","gene with protein product"
813,T008035,557,0.2775,"chr10:91174469..91174485,+",p3@IFIT5,e:24138,h:13328,u:B4DDV1,IFIT5,"interferon induced protein with tetratricopeptide repeats 5","gene with protein product"
814,T020426,555,0.2765,"chr12:105352047..105352078,-",p1@SLC41A2,e:84102,h:31045,"u:C9JCR2,u:C9JA64,u:C9J2P6",SLC41A2,"solute carrier family 41 member 2","gene with protein product"
815,T030819,555,0.2764,"chr12:98909486..98909498,+",p5@TMPO,e:7112,h:11875,,TMPO,thymopoietin,"gene with protein product"
816,T165181,553,0.2761,"chr6:36098264..36098331,+",p1@MAPK13,e:5603,h:6875,u:Q5U4A5,MAPK13,"mitogen-activated protein kinase 13","gene with protein product"
817,T151003,551,0.2743,"chr5:150827209..150827231,+",p3@SLC36A1,e:206358,h:18761,"u:E5RG64,u:E7EW39",SLC36A1,"solute carrier family 36 member 1","gene with protein product"
818,T027600,548,0.2732,"chr12:58165870..58165911,-",p1@METTL1,e:4234,h:7030,u:F8VSD9,METTL1,"methyltransferase like 1","gene with protein product"
819,T032994,549,0.2730,"chr13:41635104..41635124,-",p6@ELF1,e:1997,h:3316,u:P32519,ELF1,"E74 like ETS transcription factor 1","gene with protein product"
820,T086547,546,0.2720,"chr1:183441440..183441452,+",p7@SMG7,e:9887,h:16792,"u:E9PCE5,u:B4DRB2,u:E9PCI0,u:Q92540,u:Q6TV06,u:E9PEH2",SMG7,"SMG7, nonsense mediated mRNA decay factor","gene with protein product"
821,T077922,544,0.2704,"chr19:54823886..54823925,-",p2@LILRA5,e:353514,h:16309,,LILRA5,"leukocyte immunoglobulin like receptor A5","gene with protein product"
822,T027897,540,0.2696,"chr12:6484527..6484528,-",p22@SCNN1A,e:6337,h:10599,,SCNN1A,"sodium channel epithelial 1 alpha subunit","gene with protein product"
823,T179383,540,0.2695,"chr8:103906090..103906094,-",p15@AZIN1,e:51582,h:16432,,AZIN1,"antizyme inhibitor 1","gene with protein product"
824,T026867,541,0.2692,"chr12:56075512..56075532,+",p1@METTL7B,e:196410,h:28276,u:Q6UX53,METTL7B,"methyltransferase like 7B","gene with protein product"
825,T131966,539,0.2683,"chr3:179169284..179169328,-",p2@GNB4,e:59345,h:20731,u:C9JD14,GNB4,"G protein subunit beta 4","gene with protein product"
826,T041855,537,0.2677,"chr14:95623841..95623883,-",p2@DICER1,e:23405,h:17098,,DICER1,"dicer 1, ribonuclease III","gene with protein product"
827,T128216,538,0.2674,"chr3:122399581..122399599,+",p3@PARP14,e:54625,h:29232,"u:E9PGX7,u:Q460N5,u:C9J8I1,u:Q8N546",PARP14,"poly(ADP-ribose) polymerase family member 14","gene with protein product"
828,T023705,535,0.2660,"chr12:18414412..18414427,+",p2@PIK3C2G,e:5288,h:8973,u:O75747,PIK3C2G,"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma","gene with protein product"
829,T165179,533,0.2658,"chr6:36097945..36097981,+",p3@MAPK13,e:5603,h:6875,"u:O15264,u:Q5R3E4",MAPK13,"mitogen-activated protein kinase 13","gene with protein product"
830,T104495,530,0.2641,"chr21:31692602..31692613,-",p3@KRTAP26-1,e:388818,h:33760,u:Q6PEX3,KRTAP26-1,"keratin associated protein 26-1","gene with protein product"
831,T060690,529,0.2636,"chr17:49337881..49337947,+",p1@UTP18,e:51096,h:24274,"u:Q9Y5J1,u:B2RAX6",UTP18,"UTP18, small subunit processome component","gene with protein product"
832,T170134,531,0.2635,"chr7:11790976..11791008,-",p6@THSD7A,e:221981,h:22207,,THSD7A,"thrombospondin type 1 domain containing 7A","gene with protein product"
833,T035050,529,0.2633,"chr14:100141488..100141490,+",p6@HHIPL1,e:84439,h:19710,,HHIPL1,"HHIP like 1","gene with protein product"
834,T069292,528,0.2626,"chr18:9475687..9475698,+",p6@RALBP1,e:10928,h:9841,u:Q15311,RALBP1,"ralA binding protein 1","gene with protein product"
835,T036308,526,0.2620,"chr14:21213984..21213993,+",p2@EDDM3A,e:10876,h:16978,u:Q14507,EDDM3A,"epididymal protein 3A","gene with protein product"
836,T039156,527,0.2619,"chr14:60590935..60590971,+",p8@C14orf135,e:64430,h:20349,,PCNX4,"pecanex homolog 4 (Drosophila)","gene with protein product"
837,T063311,524,0.2610,"chr17:73874004..73874104,-",p2@TRIM47,e:91107,h:19020,,TRIM47,"tripartite motif containing 47","gene with protein product"
838,T188966,521,0.2596,"chr9:118687910..118687911,-",p6@LINC00474,,h:23367,,LINC00474,"long intergenic non-protein coding RNA 474","RNA, long non-coding"
839,T082260,520,0.2590,"chr1:150947299..150947328,-",p2@CERS2,e:29956,h:14076,"u:Q5SZE6,u:Q5SZE4",CERS2,"ceramide synthase 2","gene with protein product"
840,T117536,520,0.2590,"chr2:204400113..204400149,-",p3@RAPH1,e:65059,h:14436,u:Q70E73,RAPH1,"Ras association (RalGDS/AF-6) and pleckstrin homology domains 1","gene with protein product"
841,T071215,518,0.2585,"chr19:17445686..17445706,-",p4@ANO8,e:57719,h:29329,u:Q9HCE9,ANO8,"anoctamin 8","gene with protein product"
842,T070957,515,0.2570,"chr19:1592714..1592762,-",p1@MBD3,e:53615,h:6918,u:O95983,MBD3,"methyl-CpG binding domain protein 3","gene with protein product"
843,T053001,516,0.2570,"chr16:67198633..67198671,+",p1@HSF4,e:3299,h:5227,"u:Q9ULV5,u:E5RG51",HSF4,"heat shock transcription factor 4","gene with protein product"
844,T178955,516,0.2570,"chr7:99764744..99764756,-",p7@GAL3ST4,e:79690,h:24145,u:C9IZ77,GAL3ST4,"galactose-3-O-sulfotransferase 4","gene with protein product"
845,T119392,514,0.2564,"chr2:223289010..223289031,+",p6@SGPP2,e:130367,h:19953,u:Q8IWX5,SGPP2,"sphingosine-1-phosphate phosphatase 2","gene with protein product"
846,T025022,513,0.2561,"chr12:4388020..4388039,+",p9@CCND2,e:894,h:1583,,CCND2,"cyclin D2","gene with protein product"
847,T157764,512,0.2543,"chr6:111136513..111136525,-",p11@CDK19,e:23097,h:19338,u:Q9BWU1,CDK19,"cyclin dependent kinase 19","gene with protein product"
848,T104494,511,0.2542,"chr21:31692586..31692592,-",p4@KRTAP26-1,e:388818,h:33760,u:Q6PEX3,KRTAP26-1,"keratin associated protein 26-1","gene with protein product"
849,T025763,509,0.2541,"chr12:50344516..50344532,+",p1@AQP2,e:359,h:634,"u:P41181,u:F8W0S2",AQP2,"aquaporin 2","gene with protein product"
850,T146849,510,0.2537,"chr4:89857575..89857583,-",p9@FAM13A,e:10144,h:19367,,FAM13A,"family with sequence similarity 13 member A","gene with protein product"
851,T082261,509,0.2536,"chr1:150947343..150947360,-",p4@CERS2,e:29956,h:14076,u:Q5SZE6,CERS2,"ceramide synthase 2","gene with protein product"
852,T129611,508,0.2527,"chr3:13978766..13978775,+",p6@TPRXL,e:348825,h:32178,u:E9PNC5,TPRXL,"tetrapeptide repeat homeobox like",pseudogene
853,T055338,508,0.2527,"chr17:10101909..10101934,-",p2@GAS7,e:8522,h:4169,"u:O60861,u:F5H2K0",GAS7,"growth arrest specific 7","gene with protein product"
854,T075004,507,0.2525,"chr19:43530605..43530640,-","p1@PSG11,p2@PSG6","e:5680,e:5675","h:9516,h:9523",u:Q9UQ72,PSG11,"pregnancy specific beta-1-glycoprotein 11","gene with protein product"
855,T059855,507,0.2519,"chr17:4643087..4643113,+",p2@ZMYND15,e:84225,h:20997,u:B4DXY5,ZMYND15,"zinc finger MYND-type containing 15","gene with protein product"
856,T171657,504,0.2506,"chr7:139762438..139762447,-",p4@PARP12,e:64761,h:21919,,PARP12,"poly(ADP-ribose) polymerase family member 12","gene with protein product"
857,T157224,504,0.2505,"chr6:10413124..10413132,-",p31@TFAP2A,e:7020,h:11742,u:C9J6N8,TFAP2A,"transcription factor AP-2 alpha","gene with protein product"
858,T075005,503,0.2499,"chr19:43530643..43530668,-",p2@PSG11,e:5680,h:9516,u:Q9UQ72,PSG11,"pregnancy specific beta-1-glycoprotein 11","gene with protein product"
859,T194381,502,0.2499,"chr9:86955657..86955705,-",p1@SLC28A3,e:64078,h:16484,"u:F5GYE3,u:B2RA51,u:Q9HAS3",SLC28A3,"solute carrier family 28 member 3","gene with protein product"
860,T016377,500,0.2488,"chr11:64009840..64009896,+",p5@FKBP2,e:2286,h:3718,u:Q53XJ5,FKBP2,"FK506 binding protein 2","gene with protein product"
861,T155994,500,0.2483,"chr5:78281092..78281154,-",p1@ARSB,e:411,h:714,u:P15848,ARSB,"arylsulfatase B","gene with protein product"
862,T183357,499,0.2481,"chr8:22844948..22844964,+",p17@RHOBTB2,e:23221,h:18756,"u:E9PBU2,u:A8K9Z8,u:Q9BYZ6",RHOBTB2,"Rho related BTB domain containing 2","gene with protein product"
863,T075000,495,0.2466,"chr19:43441355..43441366,-",p2@PSG7,e:5676,h:9524,u:Q13046,PSG7,"pregnancy specific beta-1-glycoprotein 7 (gene/pseudogene)","gene with protein product"
864,T086607,495,0.2464,"chr1:183774240..183774270,+",p1@RGL1,e:23179,h:30281,u:Q9NZL6,RGL1,"ral guanine nucleotide dissociation stimulator like 1","gene with protein product"
865,T093957,492,0.2455,"chr1:36820204..36820221,-",p17@STK40,e:83931,h:21373,u:Q8N2I9,STK40,"serine/threonine kinase 40","gene with protein product"
866,T147935,492,0.2453,"chr5:118406796..118406904,+",p2@DMXL1,e:1657,h:2937,"u:E7EMZ0,u:Q05C95",DMXL1,"Dmx like 1","gene with protein product"
867,T146275,492,0.2453,"chr4:83295296..83295352,-",p2@HNRNPD,e:3184,h:5036,"u:D6RBQ9,u:D6RAF8",HNRNPD,"heterogeneous nuclear ribonucleoprotein D","gene with protein product"
868,T141348,492,0.2449,"chr4:16228120..16228129,-",p3@TAPT1,e:202018,h:26887,"u:B4DJJ3,u:D6RBK3",TAPT1,"transmembrane anterior posterior transformation 1","gene with protein product"
869,T146760,491,0.2448,"chr4:89079817..89079832,-",p7@ABCG2,e:9429,h:74,,ABCG2,"ATP binding cassette subfamily G member 2 (Junior blood group)","gene with protein product"
870,T188545,491,0.2448,"chr9:114393634..114393656,+","p2@DNAJC25-GNG10,p2@DNAJC25","e:548645,e:552891","h:34187,h:37501",u:F2Z3D1,DNAJC25,"DnaJ heat shock protein family (Hsp40) member C25","gene with protein product"
