,v1,gene_symbol,v3,group,subgroup,pathway_or_family,full_name,gene_name_synonym(s),type,reaction_EC,Vitisnet_Network1,Vitisnet_Network2
8846,VIT_05s0049g01600,,Vitvi05g01973,,,,No hit,,,,,
8847,VIT_05s0049g01630,,Vitvi05g01974,,,,Pectate lyase,,,E4_2_2_2,vv40006Cell_wall,
8848,VIT_05s0049g01640,,Vitvi05g01975,,,,No hit,,,,,
8849,VIT_05s0049g01690,,Vitvi05g01979,,,,Pentatricopeptide repeat-containing protein,,,,,
8850,VIT_05s0049g01730,,Vitvi05g01980,,,,Unknown protein,,,,,
8851,VIT_05s0049g01740,,Vitvi05g01981,,,,Actin related protein 2/3 complex; subunit 2,,,K05758,vv44810Regulation_of_actin_cytoskeleton,
8852,VIT_05s0049g01920,,Vitvi05g01982,,,,Gag-pol polyprotein,,,,,
8853,VIT_05s0049g02030,,Vitvi05g01984,,,,No hit,,,,,
8854,VIT_05s0049g02040,,Vitvi05g01985,,,,No hit,,,,,
8855,VIT_05s0049g02130,,Vitvi05g01990,,,,Glutamyl-tRNA(Gln) amidotransferase B,,,E6_3_5_6,vv10251Glutamate_metabolism,vv10252Alanine_and_aspartate_metabolism
8856,VIT_05s0049g02190,,Vitvi05g01991,,,,Unknown,,,,,
8857,VIT_05s0049g02200,,Vitvi05g01992,,,,CBS domain containing protein,,,,,
8858,VIT_05s0049g02210,,Vitvi05g01993,,,,Unknown protein,,,,,
8859,VIT_05s0051g00020,,Vitvi05g01997,,,,No hit,,,,,
8860,VIT_05s0051g00060,,Vitvi05g01998,,,,flavin-containing monooxygenase YUCCA3,,,E1_14_13_8,vv11000Single_reactions,
8861,VIT_05s0051g00130,,Vitvi05g02001,,,,Glutathione S-transferase 25 GSTU7,,,E2_5_1_18_GSTU7,vv10480Glutathione_metabolism,
8862,VIT_05s0051g00160,,Vitvi05g02004,,,,TIR-NBS-TIR type disease resistance protein,,,,,
8863,VIT_05s0051g00190,,Vitvi05g02005,,,,TIR-NBS-LRR-TIR disease resistance protein,,,,,
8864,VIT_05s0051g00240,,Vitvi05g02006,,,,Glutathione S-transferase GSTU8,,,E2_5_1_18_GSTU8,vv10480Glutathione_metabolism,
8865,VIT_05s0051g00280,,Vitvi05g02007,,,,TIR-NBS-TIR type disease resistance protein,,,,,
8866,VIT_05s0051g00520,,Vitvi05g02012,,,,No hit,,,,,
8867,VIT_05s0051g00530,,Vitvi05g02013,,,,No hit,,,,,
8868,VIT_05s0051g00600,,Vitvi05g02014,,,,No hit,,,,,
8869,VIT_05s0051g00610,,Vitvi05g02015,,,,No hit,,,,,
8870,VIT_05s0051g00680,,Vitvi05g02017,,,,Unknown protein,,,,,
8871,VIT_05s0051g00690,,Vitvi05g02018,,,,No hit,,,,,
8872,VIT_05s0051g00700,,Vitvi05g02019,,,,No hit,,,,,
8873,VIT_05s0051g00730,,Vitvi05g02021,,,,Zinc finger (C3HC4-type ring finger),,,ZFC3HC4_79,vv60078Other_zf-C3HC4,
8874,VIT_05s0051g00770,,Vitvi05g02022,,,,No hit,,,,,
8875,VIT_05s0051g00850,,Vitvi05g02025,,,,SAD1 (supersensitive to aba and drought 1),,,SAD1,vv23018RNA_degradation,vv23040Spliceosome
8876,VIT_05s0051g00880,,Vitvi05g02026,,,,No hit,,,,,
8877,VIT_05s0051g00900,,Vitvi05g02027,,,,No hit,,,,,
8878,VIT_05s0051g00980,,Vitvi05g02029,,,,No hit,,,,,
8879,VIT_05s0051g01060,,Vitvi05g02031,,,,No hit,,,,,
8880,VIT_05s0051g01080,,Vitvi05g02032,,,,AarF domain containing kinase,,,K08869,,
8881,VIT_05s0136g00040,,Vitvi05g02033,,,,No hit,,,,,
8882,VIT_05s0136g00080,,Vitvi05g02034,,,,No hit,,,,,
8883,VIT_05s0136g00090,,Vitvi05g02035,,,,No hit,,,,,
8884,VIT_05s0136g00150,,Vitvi05g02036,,,,Unknown,,,,,
8885,VIT_05s0136g00210,,Vitvi05g02038,,,,Kafirin cluster,,,,,
8886,VIT_05s0136g00280,,Vitvi05g02040,,,,No hit,,,,,
8887,VIT_05s0136g00300,,Vitvi05g02041,,,,No hit,,,,,
8888,VIT_05s0029g00110,,Vitvi05g02044,,,,Unknown protein,,,,,
8889,VIT_05s0029g00220,,Vitvi05g02046,,,,4F5 protein,,,,,
8890,VIT_05s0029g00320,,Vitvi05g02047,,,,Unknown,,,,,
8891,VIT_05s0029g00370,,Vitvi05g02049,,,,Cystatin,,,,,
8892,VIT_05s0029g00380,,Vitvi05g02050,,,,No hit,,,,,
8893,VIT_05s0029g00510,,Vitvi05g02051,,,,Aquaporin PIP PIP1A,,,PIP1A,vv50101Channels_and_pores,
8894,VIT_05s0029g00520,,Vitvi05g02052,,,,Galacturonosyltransferase 1,,,E2_4_1_43,vv40006Cell_wall,
8895,VIT_05s0029g00560,,Vitvi05g02053,,,,No hit,,,,,
8896,VIT_05s0029g00570,,Vitvi05g02054,,,,No hit,,,,,
8897,VIT_05s0029g00580,,Vitvi05g02055,,,,No hit,,,,,
8898,VIT_05s0029g00640,,Vitvi05g02056,,,,Retrotransposon,,,,,
8899,VIT_05s0029g00720,,Vitvi05g02057,,,,Spermine/spermidine synthase,,,E2_5_1_22,vv10220Urea_cycle_and_metabolism_of_amino_groups,
8900,VIT_05s0029g00740,,Vitvi05g02058,,,,Unknown protein,,,,,
8901,VIT_05s0029g00750,,Vitvi05g02059,,,,R protein L6,,,K13477,vv34627R_proteins_from_Plant-pathogen_interaction,
8902,VIT_05s0029g00760,,Vitvi05g02060,,,,No hit,,,,,
8903,VIT_05s0029g00770,,Vitvi05g02061,,,,Nematode resistance-like protein,,,,,
8904,VIT_05s0029g00790,,Vitvi05g02062,,,,Emp24/gp25L/p24 family protein,,,EMP24,vv50110Protein_coat,
8905,VIT_05s0029g00800,,Vitvi05g02063,,,,Translation initiation factor eIF-4A,,,K03257,vv23013RNA_transport,vv23040Spliceosome
8906,VIT_05s0029g00880,,Vitvi05g02068,,,,R protein L6,,,K13477,vv34627R_proteins_from_Plant-pathogen_interaction,
8907,VIT_05s0029g00940,,Vitvi05g02071,,,,No hit,,,,,
8908,VIT_05s0029g00970,,Vitvi05g02073,,,,No hit,,,,,
8909,VIT_05s0029g01000,,Vitvi05g02074,,,,HcrVf3 protein,,,,,
8910,VIT_05s0029g01050,,Vitvi05g02075,,,,No hit,,,,,
8911,VIT_05s0029g01110,,Vitvi05g02076,,,,Unknown protein,,,,,
8912,VIT_05s0029g01130,,Vitvi05g02077,,,,Pentatricopeptide (PPR) repeat-containing protein,,,,,
8913,VIT_05s0029g01310,,Vitvi05g02079,,,,Actin related protein 2/3 complex; subunit 4,,,K05755,vv44810Regulation_of_actin_cytoskeleton,
8914,VIT_05s0029g01360,,Vitvi05g02080,,,,No hit,,,,,
8915,VIT_05s0029g01390,,Vitvi05g02081,,,,No hit,,,,,
8916,VIT_05s0029g01410,,Vitvi05g02082,,,,No hit,,,,,
8917,VIT_05s0029g01420,,Vitvi05g02084,,,,Ankyrin repeat,,,K10380,vv50108Accessory_factors_involved_in_transport,
8918,VIT_05s0029g01430,,Vitvi05g02085,,,,Ankyrin,,,K10380,vv50108Accessory_factors_involved_in_transport,
8919,VIT_05s0029g01440,,Vitvi05g02086,,,,Protein kinase Xa21,,,,,
8920,VIT_05s0029g01450,,Vitvi05g02087,,,,No hit,,,,,
8921,VIT_05s0029g01470,,Vitvi05g02089,,,,Protein kinase Xa21,,,,,
8922,VIT_05s0029g01490,,Vitvi05g02090,,,,Ankyrin repeat,,,K10380,vv50108Accessory_factors_involved_in_transport,
8923,VIT_05s0029g01510,,Vitvi05g02093,,,,No hit,,,,,
8924,VIT_05s0029g01530,,Vitvi05g02094,,,,No hit,,,,,
8925,VIT_05s0029g01540,,Vitvi05g02096,,,,Ankyrin repeat,,,K10380,vv50108Accessory_factors_involved_in_transport,
8926,VIT_05s0029g01580,,Vitvi05g02097,,,,Ankyrin repeat protein,,,,,
8927,VIT_05s0062g00010,,Vitvi05g02099,,,,PUMILIO 5 (APUM5),,,PUM5,,
8928,VIT_05s0062g00020,,Vitvi05g02100,,,,F-box family protein,,,,,
8929,VIT_05s0062g00060,,Vitvi05g02101,,,,Retrotransposon protein,,,,,
8930,VIT_05s0062g00340,,Vitvi05g02102,,,,UDP-glucose:flavonoid 7-O-glucosyltransferase,,,E2_4_1_237,vv10941Flavonoid_biosynthesis,
8931,VIT_05s0062g00350,,Vitvi05g02103,,,,UDP-glucose:flavonoid 7-O-glucosyltransferase,,,E2_4_1_237,vv10941Flavonoid_biosynthesis,
8932,VIT_05s0062g00370,,Vitvi05g02104,,,,No hit,,,,,
8933,VIT_05s0062g00450,,Vitvi05g02107,,,,No hit,,,,,
8934,VIT_05s0062g00480,,Vitvi05g02108,,,,Xyloglucan endo-transglycosylase; C-terminal,,,E2_4_1_207,vv40006Cell_wall,
8935,VIT_05s0062g00510,,Vitvi05g02109,,,,Unknown,,,,,
8936,VIT_05s0062g00610,,Vitvi05g02111,,,,Xyloglucan endotransglucosylase/hydrolase 23,,,E2_4_1_207,vv40006Cell_wall,
8937,VIT_05s0062g00620,,Vitvi05g02112,,,,Unknown,,,,,
8938,VIT_05s0062g00670,,Vitvi05g02114,,,,No hit,,,,,
8939,VIT_05s0062g00730,,Vitvi05g02115,,,,No hit,,,,,
8940,VIT_05s0062g00740,,Vitvi05g02116,,,,UDP-glucoronosyl/UDP-glucosyl transferase UGT75C1,,,UGT75C1,vv10942Anthocyanin_biosynthesis,
8941,VIT_05s0062g00800,,Vitvi05g02117,,,,No hit,,,,,
8942,VIT_05s0062g00990,,Vitvi05g02119,,,,Aldo/keto reductase AKR,,,E1_1_1_21,vv10040Pentose_glucuronate_interconversion,vv10051Fructose_and_mannose_metabolism
8943,VIT_05s0062g01090,,Vitvi05g02120,,,,Unknown,,,,,
8944,VIT_05s0062g01260,,Vitvi05g02122,,,,No hit,,,,,
8945,VIT_05s0062g01270,,Vitvi05g02123,,,,Cyclo-DOPA 5-O-glucosyltransferase,,,CD5OGT,vv10350Tyrosine_metabolism,
8946,VIT_05s0062g01360,,Vitvi05g02124,,,,Unknown protein,,,,,
8947,VIT_05s0062g01390,,Vitvi05g02125,,,,F-box family protein,,,,,
8948,VIT_05s0062g01400,,Vitvi05g02126,,,,No hit,,,,,
8949,VIT_05s0062g01410,,Vitvi05g02127,,,,F-box family protein,,,,,
8950,VIT_05s0124g00050,,Vitvi05g02130,,,,No hit,,,,,
8951,VIT_05s0124g00070,,Vitvi05g02131,,,,No hit,,,,,
8952,VIT_05s0124g00250,,Vitvi05g02135,,,,Histone-lysine N-methyltransferase ATX1,,,E2_1_1_43ATX1_2,vv10300Lysine_biosynthesis,vv60048PHD
8953,VIT_05s0124g00260,,Vitvi05g02136,,,,Peptidyl tRNA hydrolases putative protein,,,K01056,,
8954,VIT_05s0124g00520,,Vitvi05g02137,,,,No hit,,,,,
8955,VIT_05s0124g00530,,Vitvi05g02138,,,,Ankyrin protein kinase,,,,,
8956,VIT_05s0124g00560,,Vitvi05g02139,,,,UDP-galactose transporter 6,,,UTR6,vv50122Porters_cat_7_to_17,
8957,VIT_05s0124g00590,,Vitvi05g02140,,,,No hit,,,,,
8958,VIT_05s0124g00600,,Vitvi05g02141,,,,Ankyrin repeat protein family,,,K10380,vv50108Accessory_factors_involved_in_transport,
8959,VIT_05s0124g00620,,Vitvi05g02142,,,,Subtilase family protein,,,,,
8960,VIT_05s0124g00630,,Vitvi05g02143,,,,Subtilisin serine protease,,,,,
8961,VIT_05s0124g00660,,Vitvi05g02144,,,,No hit,,,,,
8962,VIT_05s0124g00670,,Vitvi05g02145,,,,Ankyrin repeat protein,,,K10380,vv50108Accessory_factors_involved_in_transport,
8963,VIT_05s0124g00680,,Vitvi05g02146,,,,Ankyrin repeat protein family,,,K10380,vv50108Accessory_factors_involved_in_transport,
8964,VIT_05s0124g00690,,Vitvi05g02147,,,,Ankyrin repeat,,,K10380,vv50108Accessory_factors_involved_in_transport,
8965,VIT_05s0165g00020,,Vitvi05g02152,,,,Ankyrin repeat,,,K10380,,
8966,VIT_05s0165g00060,,Vitvi05g02153,,,,Ankyrin repeat family,,,K10380,vv50108Accessory_factors_involved_in_transport,
8967,VIT_05s0165g00070,,Vitvi05g02155,,,,No hit,,,,,
8968,VIT_05s0165g00090,,Vitvi05g02157,,,,GAG-POL precursor (Vitis vinifera),,,,,
8969,VIT_05s0165g00100,,Vitvi05g02158,,,,Elongation factor 1-alpha,,,K03231,vv23013RNA_transport,
8970,VIT_05s0165g00140,,Vitvi05g02160,,,,Ankyrin repeat family,,,K10380,vv50108Accessory_factors_involved_in_transport,
8971,VIT_05s0165g00150,,Vitvi05g02162,,,,No hit,,,,,
8972,VIT_05s0165g00170,,Vitvi05g02163,,,,No hit,,,,,
8973,VIT_05s0165g00240,,Vitvi05g02164,,,,No hit,,,,,
8974,VIT_05s0165g00250,,Vitvi05g02165,,,,No hit,,,,,
8975,VIT_05s0165g00270,,Vitvi05g02168,,,,Ankyrin repeat protein family,,,K10380,vv50108Accessory_factors_involved_in_transport,
8976,VIT_05s0165g00280,,Vitvi05g02169,,,,No hit,,,,,
8977,VIT_05s0165g00290,,Vitvi05g02170,,,,Ankyrin,,,K10380,vv50108Accessory_factors_involved_in_transport,
8978,VIT_05s0102g00020,,Vitvi05g02171,,,,Ankyrin repeat protein,,,K10380,vv50108Accessory_factors_involved_in_transport,
8979,VIT_05s0102g00030,,Vitvi05g02172,,,,Ankyrin repeat protein family,,,K10380,vv50108Accessory_factors_involved_in_transport,
8980,VIT_05s0102g00040,,Vitvi05g02173,,,,No hit,,,,,
8981,VIT_05s0102g00050,,Vitvi05g02174,,,,Ankyrin repeat protein family,,,K10380,vv50108Accessory_factors_involved_in_transport,
8982,VIT_05s0102g00140,,Vitvi05g02175,,,,No hit,,,,,
8983,VIT_05s0102g00180,,Vitvi05g02176,,,,No hit,,,,,
8984,VIT_05s0102g00280,,Vitvi05g02177,,,,No hit,,,,,
8985,VIT_05s0102g00430,,Vitvi05g02178,,,,Unknown protein,,,,,
8986,VIT_05s0102g00470,,Vitvi05g02179,,,,far-red impaired response 1,,,FAR1_3,vv60071Orphans_far-red,
8987,VIT_05s0102g00510,,Vitvi05g02180,,,,Unknown protein,,,,,
8988,VIT_05s0102g00530,,Vitvi05g02181,,,,No hit,,,,,
8989,VIT_05s0102g00540,,Vitvi05g02182,,,,Unknown protein,,,,,
8990,VIT_05s0102g00550,,Vitvi05g02183,,,,Cell division cycle 20; cofactor of APC complex,,,K03363,vv24120Ubiquitin_mediated_proteolysis,vv44110Cell_cycle
8991,VIT_05s0102g00590,,Vitvi05g02184,,,,No hit,,,,,
8992,VIT_05s0102g00600,,Vitvi05g02185,,,,No hit,,,,,
8993,VIT_05s0102g00610,,Vitvi05g02186,,,,No hit,,,,,
8994,VIT_05s0102g00620,,Vitvi05g02187,,,,No hit,,,,,
8995,VIT_05s0102g00630,,Vitvi05g02188,,,,Agenet domain-containing protein,,,,,
8996,VIT_05s0102g00640,,Vitvi05g02189,,,,WD-repeat protein,,,,,
8997,VIT_05s0102g00660,,Vitvi05g02190,,,,No hit,,,,,
8998,VIT_05s0102g00670,,Vitvi05g02191,,,,Unknown,,,,,
8999,VIT_05s0102g00680,,Vitvi05g02192,,,,WD-repeat protein,,,,,
9000,VIT_05s0102g00740,,Vitvi05g02193,,,,Leucin-rich repeat protein kinase,,,,,
9001,VIT_05s0102g00770,,Vitvi05g02194,,,,EDR2 (enhanced disease resistance 2),,,,,
9002,VIT_05s0102g00780,,Vitvi05g02195,,,,Unknown protein,,,,,
9003,VIT_05s0102g00790,,Vitvi05g02196,,,,Unknown protein,,,,,
9004,VIT_05s0102g00800,,Vitvi05g02197,,,,DEAH (Asp-Glu-Ala-His) box polypeptide 16,,,K12813,vv23040Spliceosome,
9005,VIT_05s0102g00810,,Vitvi05g02198,,,,Unknown protein,,,,,
9006,VIT_05s0102g00820,,Vitvi05g02199,,,,No hit,,,,,
9007,VIT_05s0102g00830,,Vitvi05g02201,,,,Unknown protein,,,,,
9008,VIT_05s0102g00850,,Vitvi05g02202,,,,Unknown protein,,,,,
9009,VIT_05s0102g00870,,Vitvi05g02203,,,,R protein  PRF  disease resistance protein,,,K13453,vv34627R_proteins_from_Plant-pathogen_interaction,
9010,VIT_05s0102g00900,,Vitvi05g02207,,,,Unknown protein,,,,,
9011,VIT_05s0102g00920,,Vitvi05g02208,,,,Unknown protein,,,,,
9012,VIT_05s0102g00940,,Vitvi05g02209,,,,R protein  PRF  disease resistance protein,,,K13453,vv34627R_proteins_from_Plant-pathogen_interaction,
9013,VIT_05s0102g00950,,Vitvi05g02210,,,,Curculin-like (mannose-binding) lectin family,,,,,
9014,VIT_05s0102g00970,,Vitvi05g02212,,,,Unknown protein,,,,,
9015,VIT_05s0102g01000,,Vitvi05g02214,,,,No hit,,,,,
9016,VIT_05s0102g01010,,Vitvi05g02215,,,,R protein  PRF  disease resistance protein,,,K13453,vv34627R_proteins_from_Plant-pathogen_interaction,
9017,VIT_05s0102g01020,,Vitvi05g02216,,,,No hit,,,,,
9018,VIT_05s0102g01030,,Vitvi05g02217,,,,R protein  PRF  disease resistance protein,,,K13453,vv34627R_proteins_from_Plant-pathogen_interaction,
9019,VIT_05s0102g01040,,Vitvi05g02219,,,,R protein  PRF  disease resistance protein,,,K13453,vv34627R_proteins_from_Plant-pathogen_interaction,
9020,VIT_05s0102g01060,,Vitvi05g02222,,,,No hit,,,,,
9021,VIT_05s0102g01070,,Vitvi05g02229,,,,No hit,,,,,
9022,VIT_05s0102g01080,,Vitvi05g02230,,,,Disease resistance protein (CC-NBS-LRR class),,,,,
9023,VIT_05s0102g01090,,Vitvi05g02231,,,,Unknown,,,,,
9024,VIT_05s0102g01100,,Vitvi05g02232,,,,R protein  PRF  disease resistance protein,,,K13453,vv34627R_proteins_from_Plant-pathogen_interaction,
9025,VIT_05s0102g01130,,Vitvi05g02233,,,,Unknown protein,,,,,
9026,VIT_00s0226g00050,,Vitvi05g02236,,,,R protein  PRF  disease resistance protein,,,K13453,vv34627R_proteins_from_Plant-pathogen_interaction,
9027,VIT_00s0226g00080,,Vitvi05g02237,,,,R protein  PRF  disease resistance protein,,,K13453,vv34627R_proteins_from_Plant-pathogen_interaction,
9028,VIT_00s0226g00170,,Vitvi05g02238,,,,No hit,,,,,
9029,VIT_05s0094g00090,,Vitvi05g02239,,,,Unknown protein,,,,,
9030,VIT_05s0094g00160,,Vitvi05g02240,,,,No hit,,,,,
9031,VIT_05s0094g00170,,Vitvi05g02241,,,,Protein transport protein Sec61 subunit beta,,,K09481,vv23060Protein_export,vv24141Protein_processing_in_endoplasmic_reticulum
9032,VIT_05s0094g00180,,Vitvi05g02242,,,,No hit,,,,,
9033,VIT_05s0094g00190,,Vitvi05g02243,,,,Cyclin-L1-1,,,CYCL1_1,vv44110Cell_cycle,
9034,VIT_05s0094g00210,,Vitvi05g02244,,,,No hit,,,,,
9035,VIT_05s0094g00250,,Vitvi05g02245,,,,Chitinase; class IV (Vitis vinifera),,,E3_2_1_14,vv10530Aminosugars_metabolism,
9036,VIT_05s0094g00270,,Vitvi05g02247,,,,Chitinase; class IV (Vitis vinifera),,,E3_2_1_14,vv10530Aminosugars_metabolism,
9037,VIT_05s0094g00290,,Vitvi05g02248,,,,Chitinase; class IV (Vitis vinifera),,,E3_2_1_14,vv10530Aminosugars_metabolism,
9038,VIT_05s0094g00330,,Vitvi05g02249,,,,Chitinase; class IV (Vitis vinifera),,,E3_2_1_14,vv10530Aminosugars_metabolism,
9039,VIT_05s0094g00350,,Vitvi05g02250,,,,Chitinase class IV,,,E3_2_1_14,vv10530Aminosugars_metabolism,
9040,VIT_05s0094g00360,,Vitvi05g02251,,,,Chitinase class IV,,,E3_2_1_14,vv10530Aminosugars_metabolism,
9041,VIT_05s0094g00380,,Vitvi05g02252,,,,Glycine-rich RNA-binding protein 4,,,GRP4,,
9042,VIT_05s0094g00550,,Vitvi05g02253,,,,Stearoyl-acyl-(acyl-carrier-protein) desaturase,,,E1_14_19_2,vv11040Biosynthesis_of_unsaturated_fatty_acids,
9043,VIT_05s0094g00560,,Vitvi05g02254,,,,Stearoyl-ACP desaturase,,,E1_14_19_2,vv11040Biosynthesis_of_unsaturated_fatty_acids,
9044,VIT_05s0094g00570,,Vitvi05g02255,,,,No hit,,,,,
9045,VIT_05s0094g00590,,Vitvi05g02256,,,,No hit,,,,,
9046,VIT_05s0094g00620,,Vitvi05g02257,,,,Ribosomal protein S3A (RPS3aA) 40S,,,K02984,vv23010Ribosome,
9047,VIT_05s0094g00700,,Vitvi05g02259,,,,Ribosomal protein SA (p40) 40S,,,K02998,vv23010Ribosome,
9048,VIT_05s0094g00720,,Vitvi05g02260,,,,No hit,,,,,
9049,VIT_05s0094g00890,,Vitvi05g02262,,,,Haloacid dehalogenase hydrolase,,,E3_1_3_18,vv10630Glyoxylate_and_dicarboxylate_metabolism,
9050,VIT_05s0094g01010,,Vitvi05g02264,,,,Indole-3-acetate beta-glucosyltransferase,,,E2_4_1_121,vv11002Auxin_biosynthesis,
9051,VIT_05s0094g01040,,Vitvi05g02266,,,,UDP-glucose:salicylic acid glucosyltransferase,,,E2_4_1_35,vv10500Starch_and_sucrose_metabolism,
9052,VIT_05s0094g01130,,Vitvi05g02267,,,,Allyl alcohol dehydrogenase,,,,,
9053,VIT_05s0094g01160,,Vitvi05g02268,,,,Allyl alcohol dehydrogenase,,,,,
9054,VIT_05s0094g01200,,Vitvi05g02269,,,,flavonoid 3'-hydroxylase cytochrome P450,,,E1_14_13_21,vv10941Flavonoid_biosynthesis,
9055,VIT_05s0094g01280,,Vitvi05g02271,,,,Ribosome subunit biogenesis protein 60S,,,K07565,,
9056,VIT_05s0094g01340,,Vitvi05g02272,,,,Thiopurine methyltransferase,,,E2_1_1_67,vv10271Methionine_metabolism,
9057,VIT_05s0094g01350,,Vitvi05g02273,,,,Thiol methyltransferase 1,,,E2_1_1_9,vv10450Selenoamino_acid_metabolism,
9058,VIT_05s0094g01380,,Vitvi05g02275,,,,Unknown protein,,,,,
9059,VIT_05s0094g01400,,Vitvi05g02276,,,,La domain-containing protein,,,,,
9060,VIT_05s0094g01440,,Vitvi05g02278,,,,Unknown,,,,,
9061,VIT_05s0094g01530,,Vitvi05g02279,,,,ARL (ARGOS),,,,,
9062,VIT_05s0094g01650,,Vitvi05g02280,,,,Unknown,,,,,
9063,VIT_05s0094g01690,,Vitvi05g02281,,,,No hit,,,,,
9064,VIT_05s0094g01700,,Vitvi05g02282,,,,No hit,,,,,
9065,VIT_05s0094g01710,,Vitvi05g02283,,,,No hit,,,,,
9066,VIT_00s0914g00010,,Vitvi05g02284,,,,RabGAP/TBC domain-containing protein,,,,,
9067,VIT_00s1313g00010,,Vitvi05g02286,,,,Deacetoxyvindoline 4-hydroxylase,,,E1_14_11_20,vv10902Monoterpenoid_biosynthesis,
9068,VIT_00s1663g00010,,Vitvi05g02290,,,,No hit,,,,,
9069,VIT_00s2082g00010,,Vitvi05g02292,,,,O-sialoglycoprotein endopeptidase,,,E3_4_24_57,,
9070,VIT_00s2171g00010,,Vitvi05g02293,,,,Unknown,,,,,
9071,VIT_00s2178g00010,,Vitvi05g02294,,,,R protein  PRF  disease resistance protein,,,K13453,vv34627R_proteins_from_Plant-pathogen_interaction,
9072,VIT_00s2301g00010,,Vitvi05g02296,,,,No hit,,,,,
9073,VIT_06s0004g00010,,Vitvi06g00002,,,,Solute carrier family 25 member 17 (PMP36),,,K13354,vv44146Peroxisome,
9074,VIT_06s0004g00030,,Vitvi06g00008,,,,S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase,,,SAMTBSCMT,vv10360Phenylalanine_metabolism,
9075,VIT_06s0004g00040,,Vitvi06g00009,,,,Pur alpha-1 (purin-rich alpha 1),,,,,
9076,VIT_06s0004g00050,,Vitvi06g00012,,,,Kinesin family member C3,,,K10406,vv44810Regulation_of_actin_cytoskeleton,
9077,VIT_06s0004g00060,,Vitvi06g00013,,,,Unknown protein,,,,,
9078,VIT_06s0004g00080,,Vitvi06g00017,,,,EMB1011 (embryo defective 1011),,,EMB1011,vv50109Incompletely_characterized_transport_systems,
9079,VIT_06s0004g00100,,Vitvi06g00018,,,,Unknown protein,,,,,
9080,VIT_06s0004g00110,,Vitvi06g00019,,,,Unknown protein,,,,,
9081,VIT_06s0004g00120,,Vitvi06g00020,,,,Zinc finger (C3HC4-type ring finger),,,ZFC3HC4_41,vv60078Other_zf-C3HC4,
9082,VIT_06s0004g00130,,Vitvi06g00021,,,,Pyruvate kinase,,,E2_7_1_40,vv10010Glycolysis,vv10230Purine_metabolism
9083,VIT_06s0004g00140,,Vitvi06g00022,,,,Protein kinase C substrate 80K-H,,,K08288,vv24141Protein_processing_in_endoplasmic_reticulum,
9084,VIT_06s0004g00150,,Vitvi06g00024,,,,MYR1 (MYB-related protein 1),,,MYR1_4,vv60029G2-like,
9085,VIT_06s0004g00160,,Vitvi06g00026,,,,Pentatricopeptide (PPR) repeat-containing protein,,,,,
9086,VIT_06s0004g00170,,Vitvi06g00027,,,,Antitermination NusB domain-containing,,,K03625,,
9087,VIT_06s0004g00190,,Vitvi06g00028,,,,3-methyl-2-oxobutanoate dehydrogenase,,,E1_2_4_4,vv10280Valine_leucine_and_isoleucine_degradation,
9088,VIT_06s0004g00200,,Vitvi06g00029,,,,Splicing factor YT521-B,,,,,
9089,VIT_06s0004g00210,,Vitvi06g00030,,,,Subtilisin protease,,,,,
9090,VIT_06s0004g00220,,Vitvi06g00031,,,,Protein kinase APK1B,,,,,
9091,VIT_06s0004g00240,,Vitvi06g00032,,,,Chaperonin GroEL,,,K04077,vv23018RNA_degradation,
9092,VIT_06s0004g00260,,Vitvi06g00033,,,,Shoot1 protein,,,,,
9093,VIT_06s0004g00270,,Vitvi06g00034,,,,Ent-kaurenoic acid 13-hydroxylase,,,E1_14_13_79,vv10904Diterpenoid_biosynthesis,
9094,VIT_06s0004g00300,,Vitvi06g00035,,,,Hcr2-p4.1,,,,,
9095,VIT_06s0004g00310,,Vitvi06g00036,,,,Hcr2-p4.1,,,,,
9096,VIT_06s0004g00340,,Vitvi06g00039,,,,Hcr2-p4.1,,,,,
9097,VIT_06s0004g00350,,Vitvi06g00040,,,,Hcr2-p4.1,,,,,
9098,VIT_06s0004g00360,,Vitvi06g00041,,,,Ribosomal protein L4/L1 (RPL4A) 60S,,,K02926,vv23010Ribosome,
9099,VIT_06s0004g00370,,Vitvi06g00042,,,,Hcr2-p4.1,,,,,
9100,VIT_06s0004g00400,,Vitvi06g00043,,,,Lysyl-tRNA synthetase,,,E6_1_1_6,vv10300Lysine_biosynthesis,vv20970Aminoacyl-tRNA_biosynthesis
9101,VIT_06s0004g00410,,Vitvi06g00044,,,,Carboxyl-terminal peptidase,,,,,
9102,VIT_06s0004g00420,,Vitvi06g00045,,,,Calpain-type cysteine protease,,,,,
9103,VIT_06s0004g00430,,Vitvi06g00046,,,,Unknown protein,,,,,
9104,VIT_06s0004g00440,,Vitvi06g00047,,,,No hit,,,,,
9105,VIT_06s0004g00450,,Vitvi06g00048,,,,Unknown protein,,,,,
9106,VIT_06s0004g00460,,Vitvi06g00049,,,,Elongation factor P (EF-P),,,K02356,,
9107,VIT_06s0004g00470,,Vitvi06g00050,,,,Dicarboxylate/tricarboxylate carrier (DTC),,,DTC,vv50123Porters_cat_18_to_29,
9108,VIT_06s0004g00480,,Vitvi06g00051,,,,Tubulin alpha,,,K07374,vv44145Phagosome,vv44810Regulation_of_actin_cytoskeleton
9109,VIT_06s0004g00500,,Vitvi06g00053,,,,Armadillo helical,,,,,
