Hs-MFSD2A,2000,1000,T094283-MFSD2A,"p1@MFSD2A"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
656,T012569,789,0.3923,p2@LSP1,4046,6707,P33241,LSP1,"lymphocyte-specific protein 1","gene with protein product"
657,T062634,788,0.3918,p1@SSTR2,6752,11331,P30874,SSTR2,"somatostatin receptor 2","gene with protein product"
658,T198453,787,0.3915,p10@GDI1,2664,4226,P31150,GDI1,"GDP dissociation inhibitor 1","gene with protein product"
659,T160184,785,0.3911,p17@UTRN,7402,12635,"E7EPZ4,A8K8Z1",UTRN,utrophin,"gene with protein product"
660,T015549,772,0.3839,p6@VPS37C,55048,26097,A5D8V6,VPS37C,"VPS37C, ESCRT-I subunit","gene with protein product"
661,T021472,768,0.3832,p2@TBX3,6926,11602,"C9JIZ8,O15119",TBX3,"T-box 3","gene with protein product"
662,T030051,767,0.3827,p3@ATP2B1,490,814,F8W1V5,ATP2B1,"ATPase plasma membrane Ca2+ transporting 1","gene with protein product"
663,T124308,765,0.3812,p3@AFTPH,54812,25951,,AFTPH,aftiphilin,"gene with protein product"
664,T129310,766,0.3811,p2@SLCO2A1,6578,10955,Q92959,SLCO2A1,"solute carrier organic anion transporter family member 2A1","gene with protein product"
665,T166076,762,0.3789,p1@GTPBP2,54676,4670,"E9PFN6,Q9BX10",GTPBP2,"GTP binding protein 2","gene with protein product"
666,T037386,759,0.3784,p6@TINF2,26277,11824,,TINF2,"TERF1 interacting nuclear factor 2","gene with protein product"
667,T002498,760,0.3783,p12@OPTN,10133,17142,Q96CV9,OPTN,optineurin,"gene with protein product"
668,T121721,758,0.3779,p1@GCKR,2646,4196,"Q14397,B4DPQ2,F5H1P6",GCKR,"glucokinase regulator","gene with protein product"
669,T165185,760,0.3777,p1@BRPF3,27154,14256,Q9ULD4,BRPF3,"bromodomain and PHD finger containing 3","gene with protein product"
670,T039161,757,0.3776,p1@DHRS7,51635,21524,,DHRS7,"dehydrogenase/reductase 7","gene with protein product"
671,T003100,758,0.3775,p18@VIM,7431,12692,P08670,VIM,vimentin,"gene with protein product"
672,T089073,757,0.3774,p3@CAMK1G,57172,14585,,CAMK1G,"calcium/calmodulin dependent protein kinase IG","gene with protein product"
673,T079070,756,0.3763,p3@TRIP10,9322,12304,,TRIP10,"thyroid hormone receptor interactor 10","gene with protein product"
674,T020108,757,0.3759,p7@DRAM1,55332,25645,Q8N682,DRAM1,"DNA damage regulated autophagy modulator 1","gene with protein product"
675,T072602,753,0.3754,p2@GNA11,2767,4379,P29992,GNA11,"G protein subunit alpha 11","gene with protein product"
676,T039160,754,0.3751,p2@DHRS7,51635,21524,,DHRS7,"dehydrogenase/reductase 7","gene with protein product"
677,T008802,755,0.3749,p27@MUC6,4588,7517,,MUC6,"mucin 6, oligomeric mucus/gel-forming","gene with protein product"
678,T030039,753,0.3748,p9@ATP2B1,490,814,P20020,ATP2B1,"ATPase plasma membrane Ca2+ transporting 1","gene with protein product"
679,T069378,751,0.3748,p8@C19orf66,55337,25649,,C19orf66,"chromosome 19 open reading frame 66","gene with protein product"
680,T189902,751,0.3740,p4@ST6GALNAC6,30815,23364,Q969X2,ST6GALNAC6,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6","gene with protein product"
681,T062116,749,0.3726,p1@C17orf58,284018,27568,,C17orf58,"chromosome 17 open reading frame 58","gene with protein product"
682,T064385,741,0.3698,p9@KDM6B,23135,29012,,KDM6B,"lysine demethylase 6B","gene with protein product"
683,T025957,743,0.3697,p2@GALNT6,11226,4128,Q8NCL4,GALNT6,"polypeptide N-acetylgalactosaminyltransferase 6","gene with protein product"
684,T074268,743,0.3695,p4@MAP3K10,4294,6849,Q02779,MAP3K10,"mitogen-activated protein kinase kinase kinase 10","gene with protein product"
685,T134812,742,0.3692,p7@CYP8B1,1582,2653,Q9UNU6,CYP8B1,"cytochrome P450 family 8 subfamily B member 1","gene with protein product"
686,T003760,740,0.3685,p1@PDSS1,23590,17759,Q5T2R2,PDSS1,"decaprenyl diphosphate synthase subunit 1","gene with protein product"
687,T075433,732,0.3655,p1@APOC2,344,609,P02655,APOC2,"apolipoprotein C2","gene with protein product"
688,T100213,730,0.3643,p5@SCAND1,51282,10566,"P57086,E1P5S6,Q9NZG6",SCAND1,"SCAN domain containing 1","gene with protein product"
689,T153718,730,0.3634,p8@PRLR,5618,9446,,PRLR,"prolactin receptor","gene with protein product"
690,T030537,728,0.3627,p1@FGD6,55785,21740,"Q6ZV73,F8VY01",FGD6,"FYVE, RhoGEF and PH domain containing 6","gene with protein product"
691,T107498,727,0.3619,p7@GAS2L1,10634,16955,C9JRR6,GAS2L1,"growth arrest specific 2 like 1","gene with protein product"
692,T183359,727,0.3617,p18@RHOBTB2,23221,18756,E5RI44,RHOBTB2,"Rho related BTB domain containing 2","gene with protein product"
693,T146791,723,0.3606,p1@HERC6,55008,26072,,HERC6,"HECT and RLD domain containing E3 ubiquitin protein ligase family member 6","gene with protein product"
694,T044352,725,0.3603,p3@CYP19A1,1588,2594,,CYP19A1,"cytochrome P450 family 19 subfamily A member 1","gene with protein product"
695,T066507,721,0.3596,p5@EMILIN2,84034,19881,Q9BXX0,EMILIN2,"elastin microfibril interfacer 2","gene with protein product"
696,T188370,723,0.3592,p2@AKAP2,11217,372,B4E2K2,AKAP2,"A-kinase anchoring protein 2","gene with protein product"
697,T128673,721,0.3589,p2@MGLL,11343,17038,B7Z9D1,MGLL,"monoglyceride lipase","gene with protein product"
698,T005652,718,0.3576,p21@ANK3,288,494,,ANK3,"ankyrin 3","gene with protein product"
699,T129238,719,0.3574,p9@CDV3,55573,26928,,CDV3,"CDV3 homolog","gene with protein product"
700,T013763,716,0.3568,p9@EHF,26298,3246,E9PN75,EHF,"ETS homologous factor","gene with protein product"
701,T132765,715,0.3559,p5@BCL6,604,1001,C9JL16,BCL6,"B-cell CLL/lymphoma 6","gene with protein product"
702,T114166,713,0.3547,p4@IFIH1,64135,18873,Q9BYX4,IFIH1,"interferon induced with helicase C domain 1","gene with protein product"
703,T176993,713,0.3544,p4@BCL7B,9275,1005,F8WDZ4,BCL7B,"BCL tumor suppressor 7B","gene with protein product"
704,T175535,713,0.3544,p2@STK17A,9263,11395,Q9UEE5,STK17A,"serine/threonine kinase 17a","gene with protein product"
705,T015009,711,0.3543,p3@SSRP1,6749,11327,,SSRP1,"structure specific recognition protein 1","gene with protein product"
706,T171670,711,0.3537,p2@JHDM1D,80853,22224,Q6ZMT4,KDM7A,"lysine demethylase 7A","gene with protein product"
707,T073125,710,0.3531,p16@USF2,7392,12594,Q15853,USF2,"upstream transcription factor 2, c-fos interacting","gene with protein product"
708,T186428,709,0.3522,p6@TCEB1,6921,11617,,ELOC,"elongin C","gene with protein product"
709,T153151,706,0.3518,p8@MGAT1,4245,7044,D6RBS3,MGAT1,"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase","gene with protein product"
710,T038352,706,0.3507,p3@ARF6,382,659,"P62330,Q6FGZ2",ARF6,"ADP ribosylation factor 6","gene with protein product"
711,T084605,703,0.3504,p6@SLAMF7,57823,21394,,SLAMF7,"SLAM family member 7","gene with protein product"
712,T009162,702,0.3500,p3@AMPD3,272,470,E9PKC5,AMPD3,"adenosine monophosphate deaminase 3","gene with protein product"
713,T172764,702,0.3498,p2@NUB1,51667,17623,,NUB1,"negative regulator of ubiquitin like proteins 1","gene with protein product"
714,T021316,701,0.3491,p1@SDSL,113675,30404,"Q96GA7,F8VYZ3",SDSL,"serine dehydratase like","gene with protein product"
715,T075402,698,0.3476,p2@APOE,348,613,E7ERP7,APOE,"apolipoprotein E","gene with protein product"
716,T032215,699,0.3472,p1@RASL11A,387496,23802,,RASL11A,"RAS like family 11 member A","gene with protein product"
717,T098079,695,0.3468,p1@F3,2152,3541,,F3,"coagulation factor III, tissue factor","gene with protein product"
718,T013591,693,0.3455,p3@PRRG4,79056,30799,Q9BZD6,PRRG4,"proline rich and Gla domain 4","gene with protein product"
719,T100231,694,0.3453,p5@EPB41L1,2036,3378,Q4VXN6,EPB41L1,"erythrocyte membrane protein band 4.1 like 1","gene with protein product"
720,T023226,692,0.3451,p1@ANKLE2,23141,29101,F5H2H5,ANKLE2,"ankyrin repeat and LEM domain containing 2","gene with protein product"
721,T137038,689,0.3431,p4@SLC25A26,115286,20661,Q70HW3,SLC25A26,"solute carrier family 25 member 26","gene with protein product"
722,T076640,688,0.3414,p2@SNRNP70,6625,11150,,SNRNP70,"small nuclear ribonucleoprotein U1 subunit 70","gene with protein product"
723,T015078,684,0.3411,p11@SLC43A3,29015,17466,Q8NBI5,SLC43A3,"solute carrier family 43 member 3","gene with protein product"
724,T183358,686,0.3408,p12@RHOBTB2,23221,18756,E5RI44,RHOBTB2,"Rho related BTB domain containing 2","gene with protein product"
725,T143369,684,0.3406,p2@GRK4,2868,4543,,GRK4,"G protein-coupled receptor kinase 4","gene with protein product"
726,T162700,683,0.3405,p6@ALDH5A1,7915,408,C9J8Q5,ALDH5A1,"aldehyde dehydrogenase 5 family member A1","gene with protein product"
727,T144601,680,0.3397,"p2@ZNF595,p5@ZNF718","255403,152687","26889,27196",,ZNF718,"zinc finger protein 718","gene with protein product"
728,T137179,681,0.3385,p5@MITF,4286,7105,C9J845,MITF,"melanogenesis associated transcription factor","gene with protein product"
729,T150959,676,0.3370,p2@CCDC69,26112,24487,A6NI79,CCDC69,"coiled-coil domain containing 69","gene with protein product"
730,T155545,676,0.3370,p6@TNPO1,3842,6401,,TNPO1,"transportin 1","gene with protein product"
731,T197186,675,0.3353,p3@RAP2C,57826,21165,,RAP2C,"RAP2C, member of RAS oncogene family","gene with protein product"
732,T097214,672,0.3343,p2@MCOLN2,255231,13357,"G5EA24,Q8IZK6",MCOLN2,"mucolipin 2","gene with protein product"
733,T036270,672,0.3342,p2@TMEM55B,90809,19299,Q86T03,TMEM55B,"transmembrane protein 55B","gene with protein product"
734,T025373,668,0.3332,p2@ENDOU,8909,14369,P21128,ENDOU,"endonuclease, poly(U) specific","gene with protein product"
735,T063586,667,0.3323,p2@SENP3,"26168,100533955",17862,Q9H4L4,SENP3,"SUMO1/sentrin/SMT3 specific peptidase 3","gene with protein product"
736,T018541,665,0.3310,p2@PPFIBP2,8495,9250,B3KM46,PPFIBP2,"PPFIA binding protein 2","gene with protein product"
737,T037449,664,0.3310,p1@KHNYN,23351,20166,,KHNYN,"KH and NYN domain containing","gene with protein product"
738,T023704,664,0.3302,p3@PIK3C2G,5288,8973,O75747,PIK3C2G,"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma","gene with protein product"
739,T031393,664,0.3302,p1@RAB20,55647,18260,Q9NX57,RAB20,"RAB20, member RAS oncogene family","gene with protein product"
740,T098865,663,0.3302,p1@RIN2,54453,18750,,RIN2,"Ras and Rab interactor 2","gene with protein product"
741,T134817,665,0.3300,p5@CYP8B1,1582,2653,C9JFR9,CYP8B1,"cytochrome P450 family 8 subfamily B member 1","gene with protein product"
742,T050670,662,0.3297,p5@CDIPT,10423,1769,C9J7H0,CDIPT,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase","gene with protein product"
743,T013764,660,0.3285,p3@EHF,26298,3246,"E9PQR6,E9PN75,E9PPS9",EHF,"ETS homologous factor","gene with protein product"
744,T127016,661,0.3284,p5@ALCAM,214,400,"B4DTU0,Q13740,B3KNN9,Q6PEY4",ALCAM,"activated leukocyte cell adhesion molecule","gene with protein product"
745,T043958,656,0.3267,p1@GATM,2628,4175,,GATM,"glycine amidinotransferase","gene with protein product"
746,T188965,655,0.3265,p4@LINC00474,,23367,,LINC00474,"long intergenic non-protein coding RNA 474","RNA, long non-coding"
747,T176148,657,0.3264,p13@IKZF1,10320,13176,"Q13422,Q69BM4",IKZF1,"IKAROS family zinc finger 1","gene with protein product"
748,T051858,656,0.3256,p3@PAPD5,64282,30758,,PAPD5,"poly(A) RNA polymerase D5, non-canonical","gene with protein product"
749,T105419,653,0.3250,p12@MX1,4599,7532,,MX1,"MX dynamin like GTPase 1","gene with protein product"
750,T146759,644,0.3212,p2@ABCG2,9429,74,,ABCG2,"ATP binding cassette subfamily G member 2 (Junior blood group)","gene with protein product"
751,T139926,644,0.3207,p1@CCRN4L,25819,14254,"Q9UK39,Q8WTX0",NOCT,nocturnin,"gene with protein product"
752,T199657,643,0.3204,p2@MAOA,4128,6833,Q49A63,MAOA,"monoamine oxidase A","gene with protein product"
753,T060707,643,0.3201,p8@CA10,56934,1369,,CA10,"carbonic anhydrase 10","gene with protein product"
754,T144804,639,0.3185,p2@MFSD7,84179,26177,Q6UXD7,MFSD7,"major facilitator superfamily domain containing 7","gene with protein product"
755,T032865,636,0.3167,p7@POSTN,10631,16953,F5H570,POSTN,periostin,"gene with protein product"
756,T119391,637,0.3166,p10@SGPP2,130367,19953,Q8IWX5,SGPP2,"sphingosine-1-phosphate phosphatase 2","gene with protein product"
757,T046709,635,0.3162,p2@PSTPIP1,9051,9580,O43586,PSTPIP1,"proline-serine-threonine phosphatase interacting protein 1","gene with protein product"
758,T104496,634,0.3157,p2@KRTAP26-1,388818,33760,Q6PEX3,KRTAP26-1,"keratin associated protein 26-1","gene with protein product"
759,T063140,635,0.3156,p3@GRB2,2885,4566,P62993,GRB2,"growth factor receptor bound protein 2","gene with protein product"
760,T050702,634,0.3156,p2@TAOK2,9344,16835,"E7EV72,Q9UL54,A0PJ48",TAOK2,"TAO kinase 2","gene with protein product"
761,T038465,633,0.3149,p1@SAV1,60485,17795,"G3V453,Q9H4B6",SAV1,"salvador family WW domain containing protein 1","gene with protein product"
762,T022021,631,0.3146,p1@OASL,8638,8090,"B3KN79,Q15646",OASL,"2'-5'-oligoadenylate synthetase like","gene with protein product"
763,T139925,632,0.3144,p4@CCRN4L,25819,14254,"Q9UK39,Q8WTX0",NOCT,nocturnin,"gene with protein product"
764,T093612,632,0.3143,p1@RNF19B,127544,26886,"G3XA82,E9PAW6,Q6ZMZ0,F5GY25",RNF19B,"ring finger protein 19B","gene with protein product"
765,T002111,630,0.3139,p1@LHPP,64077,30042,"Q9H008,Q5T1Z0",LHPP,"phospholysine phosphohistidine inorganic pyrophosphate phosphatase","gene with protein product"
766,T061750,629,0.3131,p1@CSHL1,1444,2442,Q14406,CSHL1,"chorionic somatomammotropin hormone like 1","gene with protein product"
767,T125649,628,0.3129,p1@TGOLN2,10618,15450,,TGOLN2,"trans-golgi network protein 2","gene with protein product"
768,T119722,627,0.3127,p3@MFF,56947,24858,,MFF,"mitochondrial fission factor","gene with protein product"
769,T061906,626,0.3122,p1@GNA13,10672,4381,"F8W818,Q14344",GNA13,"G protein subunit alpha 13","gene with protein product"
770,T187922,627,0.3119,p5@C9orf30,91283,23370,Q96H12,MSANTD3,"Myb/SANT DNA binding domain containing 3","gene with protein product"
771,T156889,625,0.3114,p1@ELL2,22936,17064,"B4DNK7,D6RC27",ELL2,"elongation factor for RNA polymerase II 2","gene with protein product"
772,T087921,620,0.3094,p8@PPP1R12B,4660,7619,O60237,PPP1R12B,"protein phosphatase 1 regulatory subunit 12B","gene with protein product"
773,T077911,621,0.3093,p1@LILRB5,10990,6609,"C9JMK7,Q8NF80",LILRB5,"leukocyte immunoglobulin like receptor B5","gene with protein product"
774,T075400,622,0.3091,p1@APOE,348,613,E9PEV4,APOE,"apolipoprotein E","gene with protein product"
775,T144049,620,0.3091,p1@STX18,53407,15942,"Q9P2W9,D6RF48",STX18,"syntaxin 18","gene with protein product"
776,T071147,621,0.3082,p1@MYO9B,4650,7609,"Q4LE74,Q8WVD2,B0I1T6,Q13459",MYO9B,"myosin IXB","gene with protein product"
777,T157002,616,0.3071,p9@LNPEP,4012,6656,Q9UIQ6,LNPEP,"leucyl and cystinyl aminopeptidase","gene with protein product"
778,T121683,611,0.3035,p3@EIF2B4,8890,3260,Q9UI10,EIF2B4,"eukaryotic translation initiation factor 2B subunit delta","gene with protein product"
779,T087623,610,0.3033,p2@CAMSAP2,23271,29188,"B3KTI4,Q08AD1",CAMSAP2,"calmodulin regulated spectrin associated protein family member 2","gene with protein product"
780,T018238,606,0.3021,p1@FCHSD2,9873,29114,O94868,FCHSD2,"FCH and double SH3 domains 2","gene with protein product"
781,T183965,607,0.3017,p4@ZNF395,55893,18737,E5RH90,ZNF395,"zinc finger protein 395","gene with protein product"
782,T193269,602,0.2994,p6@MCART1,92014,23323,Q9H1U9,SLC25A51,"solute carrier family 25 member 51","gene with protein product"
783,T025766,598,0.2986,p3@AQP2,359,634,,AQP2,"aquaporin 2","gene with protein product"
784,T129308,599,0.2982,p1@SLCO2A1,6578,10955,F8W9W8,SLCO2A1,"solute carrier organic anion transporter family member 2A1","gene with protein product"
785,T121470,597,0.2976,p5@RAB10,10890,9759,P61026,RAB10,"RAB10, member RAS oncogene family","gene with protein product"
786,T177158,597,0.2975,p6@GTF2I,2969,4659,,GTF2I,"general transcription factor IIi","gene with protein product"
787,T109606,595,0.2963,p4@PRR5,55615,31682,P85299,PRR5,"proline rich 5","gene with protein product"
788,T061703,594,0.2961,p1@VPS53,55275,25608,"Q5VIR6,G3V0H8,B3KS06",VPS53,"VPS53, GARP complex subunit","gene with protein product"
789,T191874,593,0.2952,p3@TTC39B,158219,23704,B4DVQ6,TTC39B,"tetratricopeptide repeat domain 39B","gene with protein product"
790,T008622,593,0.2952,p1@PIK3AP1,118788,30034,"Q6ZUJ8,Q86YV3",PIK3AP1,"phosphoinositide-3-kinase adaptor protein 1","gene with protein product"
791,T122550,591,0.2945,p1@FAM82A1,151393,26567,Q96LZ7,RMDN2,"regulator of microtubule dynamics 2","gene with protein product"
792,T055341,590,0.2944,p4@GAS7,8522,4169,"O60861,F5H2K0",GAS7,"growth arrest specific 7","gene with protein product"
793,T087665,587,0.2922,p11@TMCO4,255104,27393,,TMCO4,"transmembrane and coiled-coil domains 4","gene with protein product"
794,T015603,585,0.2921,p5@TMEM138,51524,26944,Q9NPI0,TMEM138,"transmembrane protein 138","gene with protein product"
795,T133540,587,0.2920,p1@SENP5,205564,28407,C9JHT8,SENP5,"SUMO1/sentrin specific peptidase 5","gene with protein product"
796,T198252,587,0.2919,p1@ABCD1,215,61,P33897,ABCD1,"ATP binding cassette subfamily D member 1","gene with protein product"
797,T170502,583,0.2912,p9@ERVFH21-1,100616104,39047,,ERVFH21-1,"endogenous retrovirus group FH21 member 1","endogenous retrovirus"
798,T015193,584,0.2905,p1@PHRF1,57661,24351,Q9P1Y6,PHRF1,"PHD and ring finger domains 1","gene with protein product"
799,T107749,585,0.2897,p1@DUSP18,150290,18484,"Q8NEJ0,F8VX42,F2Z2P2",DUSP18,"dual specificity phosphatase 18","gene with protein product"
800,T021272,584,0.2897,p1@TPCN1,53373,18182,F8W0K7,TPCN1,"two pore segment channel 1","gene with protein product"
801,T104159,583,0.2896,p1@LINC00158,,1283,,LINC00158,"long intergenic non-protein coding RNA 158","RNA, long non-coding"
802,T069739,580,0.2891,p1@LDLR,3949,6547,"B4DR00,B4DTQ3,B4DJZ8",LDLR,"low density lipoprotein receptor","gene with protein product"
803,T187331,577,0.2868,p2@C8orf38,137682,28625,B4DW83,NDUFAF6,"NADH:ubiquinone oxidoreductase complex assembly factor 6","gene with protein product"
804,T109571,571,0.2845,p2@PARVG,64098,14654,E7EVM6,PARVG,"parvin gamma","gene with protein product"
805,T130590,569,0.2836,p1@P2RY1,5028,8539,P47900,P2RY1,"purinergic receptor P2Y1","gene with protein product"
806,T013117,568,0.2830,p15@CD81,975,1701,E9PM31,CD81,"CD81 molecule","gene with protein product"
807,T067699,570,0.2829,p1@MBD2,8932,6917,Q9UBB5,MBD2,"methyl-CpG binding domain protein 2","gene with protein product"
808,T067296,567,0.2827,p5@SIGLEC15,284266,27596,Q6ZMC9,SIGLEC15,"sialic acid binding Ig like lectin 15","gene with protein product"
809,T190637,567,0.2819,p2@RAPGEF1,2889,4568,Q5JUE9,RAPGEF1,"Rap guanine nucleotide exchange factor 1","gene with protein product"
810,T016668,565,0.2817,p2@BATF2,116071,25163,E9PJ73,BATF2,"basic leucine zipper ATF-like transcription factor 2","gene with protein product"
811,T124032,561,0.2784,p4@REL,5966,9954,Q17RU2,REL,"REL proto-oncogene, NF-kB subunit","gene with protein product"
812,T019668,559,0.2780,p1@FUT4,2526,4015,P22083,FUT4,"fucosyltransferase 4","gene with protein product"
813,T008035,557,0.2775,p3@IFIT5,24138,13328,B4DDV1,IFIT5,"interferon induced protein with tetratricopeptide repeats 5","gene with protein product"
814,T020426,555,0.2765,p1@SLC41A2,84102,31045,"C9JCR2,C9JA64,C9J2P6",SLC41A2,"solute carrier family 41 member 2","gene with protein product"
815,T030819,555,0.2764,p5@TMPO,7112,11875,,TMPO,thymopoietin,"gene with protein product"
816,T165181,553,0.2761,p1@MAPK13,5603,6875,Q5U4A5,MAPK13,"mitogen-activated protein kinase 13","gene with protein product"
817,T151003,551,0.2743,p3@SLC36A1,206358,18761,"E5RG64,E7EW39",SLC36A1,"solute carrier family 36 member 1","gene with protein product"
818,T027600,548,0.2732,p1@METTL1,4234,7030,F8VSD9,METTL1,"methyltransferase like 1","gene with protein product"
819,T032994,549,0.2730,p6@ELF1,1997,3316,P32519,ELF1,"E74 like ETS transcription factor 1","gene with protein product"
820,T086547,546,0.2720,p7@SMG7,9887,16792,"E9PCE5,B4DRB2,E9PCI0,Q92540,Q6TV06,E9PEH2",SMG7,"SMG7, nonsense mediated mRNA decay factor","gene with protein product"
821,T077922,544,0.2704,p2@LILRA5,353514,16309,,LILRA5,"leukocyte immunoglobulin like receptor A5","gene with protein product"
822,T027897,540,0.2696,p22@SCNN1A,6337,10599,,SCNN1A,"sodium channel epithelial 1 alpha subunit","gene with protein product"
823,T179383,540,0.2695,p15@AZIN1,51582,16432,,AZIN1,"antizyme inhibitor 1","gene with protein product"
824,T026867,541,0.2692,p1@METTL7B,196410,28276,Q6UX53,METTL7B,"methyltransferase like 7B","gene with protein product"
825,T131966,539,0.2683,p2@GNB4,59345,20731,C9JD14,GNB4,"G protein subunit beta 4","gene with protein product"
826,T041855,537,0.2677,p2@DICER1,23405,17098,,DICER1,"dicer 1, ribonuclease III","gene with protein product"
827,T128216,538,0.2674,p3@PARP14,54625,29232,"E9PGX7,Q460N5,C9J8I1,Q8N546",PARP14,"poly(ADP-ribose) polymerase family member 14","gene with protein product"
828,T023705,535,0.2660,p2@PIK3C2G,5288,8973,O75747,PIK3C2G,"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma","gene with protein product"
829,T165179,533,0.2658,p3@MAPK13,5603,6875,"O15264,Q5R3E4",MAPK13,"mitogen-activated protein kinase 13","gene with protein product"
830,T104495,530,0.2641,p3@KRTAP26-1,388818,33760,Q6PEX3,KRTAP26-1,"keratin associated protein 26-1","gene with protein product"
831,T060690,529,0.2636,p1@UTP18,51096,24274,"Q9Y5J1,B2RAX6",UTP18,"UTP18, small subunit processome component","gene with protein product"
832,T170134,531,0.2635,p6@THSD7A,221981,22207,,THSD7A,"thrombospondin type 1 domain containing 7A","gene with protein product"
833,T035050,529,0.2633,p6@HHIPL1,84439,19710,,HHIPL1,"HHIP like 1","gene with protein product"
834,T069292,528,0.2626,p6@RALBP1,10928,9841,Q15311,RALBP1,"ralA binding protein 1","gene with protein product"
835,T036308,526,0.2620,p2@EDDM3A,10876,16978,Q14507,EDDM3A,"epididymal protein 3A","gene with protein product"
836,T039156,527,0.2619,p8@C14orf135,64430,20349,,PCNX4,"pecanex homolog 4 (Drosophila)","gene with protein product"
837,T063311,524,0.2610,p2@TRIM47,91107,19020,,TRIM47,"tripartite motif containing 47","gene with protein product"
838,T188966,521,0.2596,p6@LINC00474,,23367,,LINC00474,"long intergenic non-protein coding RNA 474","RNA, long non-coding"
839,T082260,520,0.2590,p2@CERS2,29956,14076,"Q5SZE6,Q5SZE4",CERS2,"ceramide synthase 2","gene with protein product"
840,T117536,520,0.2590,p3@RAPH1,65059,14436,Q70E73,RAPH1,"Ras association (RalGDS/AF-6) and pleckstrin homology domains 1","gene with protein product"
841,T071215,518,0.2585,p4@ANO8,57719,29329,Q9HCE9,ANO8,"anoctamin 8","gene with protein product"
842,T070957,515,0.2570,p1@MBD3,53615,6918,O95983,MBD3,"methyl-CpG binding domain protein 3","gene with protein product"
843,T053001,516,0.2570,p1@HSF4,3299,5227,"Q9ULV5,E5RG51",HSF4,"heat shock transcription factor 4","gene with protein product"
844,T178955,516,0.2570,p7@GAL3ST4,79690,24145,C9IZ77,GAL3ST4,"galactose-3-O-sulfotransferase 4","gene with protein product"
845,T119392,514,0.2564,p6@SGPP2,130367,19953,Q8IWX5,SGPP2,"sphingosine-1-phosphate phosphatase 2","gene with protein product"
846,T025022,513,0.2561,p9@CCND2,894,1583,,CCND2,"cyclin D2","gene with protein product"
847,T157764,512,0.2543,p11@CDK19,23097,19338,Q9BWU1,CDK19,"cyclin dependent kinase 19","gene with protein product"
848,T104494,511,0.2542,p4@KRTAP26-1,388818,33760,Q6PEX3,KRTAP26-1,"keratin associated protein 26-1","gene with protein product"
849,T025763,509,0.2541,p1@AQP2,359,634,"P41181,F8W0S2",AQP2,"aquaporin 2","gene with protein product"
850,T146849,510,0.2537,p9@FAM13A,10144,19367,,FAM13A,"family with sequence similarity 13 member A","gene with protein product"
851,T082261,509,0.2536,p4@CERS2,29956,14076,Q5SZE6,CERS2,"ceramide synthase 2","gene with protein product"
852,T129611,508,0.2527,p6@TPRXL,348825,32178,E9PNC5,TPRXL,"tetrapeptide repeat homeobox like",pseudogene
853,T055338,508,0.2527,p2@GAS7,8522,4169,"O60861,F5H2K0",GAS7,"growth arrest specific 7","gene with protein product"
854,T075004,507,0.2525,"p1@PSG11,p2@PSG6","5680,5675","9516,9523",Q9UQ72,PSG11,"pregnancy specific beta-1-glycoprotein 11","gene with protein product"
855,T059855,507,0.2519,p2@ZMYND15,84225,20997,B4DXY5,ZMYND15,"zinc finger MYND-type containing 15","gene with protein product"
856,T171657,504,0.2506,p4@PARP12,64761,21919,,PARP12,"poly(ADP-ribose) polymerase family member 12","gene with protein product"
857,T157224,504,0.2505,p31@TFAP2A,7020,11742,C9J6N8,TFAP2A,"transcription factor AP-2 alpha","gene with protein product"
858,T075005,503,0.2499,p2@PSG11,5680,9516,Q9UQ72,PSG11,"pregnancy specific beta-1-glycoprotein 11","gene with protein product"
859,T194381,502,0.2499,p1@SLC28A3,64078,16484,"F5GYE3,B2RA51,Q9HAS3",SLC28A3,"solute carrier family 28 member 3","gene with protein product"
860,T016377,500,0.2488,p5@FKBP2,2286,3718,Q53XJ5,FKBP2,"FK506 binding protein 2","gene with protein product"
861,T155994,500,0.2483,p1@ARSB,411,714,P15848,ARSB,"arylsulfatase B","gene with protein product"
862,T183357,499,0.2481,p17@RHOBTB2,23221,18756,"E9PBU2,A8K9Z8,Q9BYZ6",RHOBTB2,"Rho related BTB domain containing 2","gene with protein product"
863,T075000,495,0.2466,p2@PSG7,5676,9524,Q13046,PSG7,"pregnancy specific beta-1-glycoprotein 7 (gene/pseudogene)","gene with protein product"
864,T086607,495,0.2464,p1@RGL1,23179,30281,Q9NZL6,RGL1,"ral guanine nucleotide dissociation stimulator like 1","gene with protein product"
865,T093957,492,0.2455,p17@STK40,83931,21373,Q8N2I9,STK40,"serine/threonine kinase 40","gene with protein product"
866,T147935,492,0.2453,p2@DMXL1,1657,2937,"E7EMZ0,Q05C95",DMXL1,"Dmx like 1","gene with protein product"
867,T146275,492,0.2453,p2@HNRNPD,3184,5036,"D6RBQ9,D6RAF8",HNRNPD,"heterogeneous nuclear ribonucleoprotein D","gene with protein product"
